word,human_mean,gpt_mean,abs_err
وفاء,1.444444444,3.667,2.222555556
كرم,1.777777778,4,2.222222222
شرف,1.277777778,3,1.722222222
اعتقاد,1.277777778,3,1.722222222
قدر,1.277777778,3,1.722222222
الكحول,4.705882353,3,1.705882353
تقدير,1.333333333,3,1.666666667
إلحاد,1.388888889,3,1.611111111
ثقافة,1.444444444,3,1.555555556
جنين,4.555555556,3,1.555555556
كنيسة,4.555555556,3,1.555555556
قبول,1.5,3,1.5
مدرسة,4.5,3,1.5
معلمة,4.5,3,1.5
موظف,4.444444444,3,1.444444444
شرطية,4.444444444,3,1.444444444
خلود,1.555555556,3,1.444444444
تسامح,1.555555556,3,1.444444444
مفهوم,1.555555556,3,1.444444444
عامل,4.388888889,3,1.388888889
خصوصية,1.611111111,3,1.388888889
حكمة,1.611111111,3,1.388888889
طاعة,1.611111111,3,1.388888889
إنسانية,1.666666667,3,1.333333333
شجاعة,1.666666667,3,1.333333333
