query_word,neighbor,cosine_similarity
قدر,تقدير,0.4861
قدر,بلوغ,0.3768
قدر,تواضع,0.3447
قدر,الله,0.3032
قدر,كوب,0.3015
قدر,تضخم,0.2924
قدر,عامل,0.2916
قدر,شرف,0.2886
قدر,ميزانية,0.2835
قدر,"
تسوق",0.2811
قدر,مناخ,0.2715
قدر,تشجيع,0.2685
قدر,مجتمع,0.2642
قدر,نعمة,0.2635
قدر,صدر,0.2528
قدر,عقل,0.2484
قدر,حكومة,0.2447
قدر,إعجاب,0.2442
قدر,قبول,0.2435
قدر,وفاء,0.2426
خلود,إيمان,0.5021
خلود,وفاء,0.422
خلود,شروق,0.404
خلود,بنت,0.4028
خلود,ابنة,0.3415
خلود,حياة,0.3311
خلود,زوجة,0.3056
خلود,كرم,0.294
خلود,عقل,0.294
خلود,سعادة,0.2905
خلود,فلاح,0.2871
خلود,ابن,0.2774
خلود,شرف,0.2765
خلود,مفارقة,0.2696
خلود,حرية,0.2669
خلود,معلمة,0.2565
خلود,جنة,0.2564
خلود,عقيدة,0.2552
خلود,جهنم,0.2549
خلود,طالبة,0.252
قطاع,مدير,0.444
قطاع,موظف,0.4212
قطاع,مكتب,0.411
قطاع,مجتمع,0.392
قطاع,منطقة,0.3871
قطاع,دولة,0.3654
قطاع,مبنى,0.3638
قطاع,مناخ,0.3576
قطاع,حكومة,0.354
قطاع,ميزانية,0.3453
قطاع,غرفة,0.3432
قطاع,تعليم,0.3364
قطاع,جنين,0.3317
قطاع,فساد,0.326
قطاع,"
تسوق",0.32
قطاع,عامل,0.3144
قطاع,إعلام,0.3106
قطاع,موظفة,0.3077
قطاع,رقابة,0.305
قطاع,ثقافة,0.3016
دم,نجاسة,0.3565
دم,مخ,0.3059
دم,أم,0.2821
دم,أب,0.2739
دم,حج,0.2616
دم,نقاء,0.2203
دم,عري,0.2094
دم,كلب,0.2079
دم,إجهاض,0.1862
دم,جثة,0.1811
دم,قطة,0.176
دم,حظ,0.1756
دم,قفاز,0.171
دم,غيرة,0.1698
دم,قميص,0.1687
دم,ألم,0.1681
دم,جنين,0.1647
دم,ختان,0.1628
دم,جار,0.16
دم,دواء,0.1569
مؤامرة,إجهاض,0.4212
مؤامرة,حادثة,0.3992
مؤامرة,غزو,0.3927
مؤامرة,فساد,0.3867
مؤامرة,ديمقراطية,0.3542
مؤامرة,مفارقة,0.3529
مؤامرة,حكومة,0.3526
مؤامرة,شماعة,0.334
مؤامرة,عقيدة,0.3122
مؤامرة,مجاعة,0.2932
مؤامرة,معلومة,0.2916
مؤامرة,دولة,0.287
مؤامرة,ختان,0.2843
مؤامرة,زواج,0.2837
مؤامرة,غسيل,0.2807
مؤامرة,كنيسة,0.2779
مؤامرة,غيرة,0.2761
مؤامرة,إعلام,0.2755
مؤامرة,عدالة,0.2747
مؤامرة,إنسانية,0.2692
فكرة,تبني,0.4713
فكرة,عقيدة,0.4509
فكرة,قبول,0.4358
فكرة,معلومة,0.4316
فكرة,ثقافة,0.4239
فكرة,مفارقة,0.4145
فكرة,تشجيع,0.3848
فكرة,حرية,0.3809
فكرة,ولادة,0.3749
فكرة,تقاليد,0.3666
فكرة,مثالية,0.3556
فكرة,ديمقراطية,0.3539
فكرة,برنامج,0.3466
فكرة,حادثة,0.3321
فكرة,دولة,0.3306
فكرة,حضارة,0.3288
فكرة,إلحاد,0.3208
فكرة,عبادة,0.3202
فكرة,رقابة,0.3155
فكرة,عاملة,0.3151
مال,رجل,0.371
مال,عقل,0.3658
مال,فساد,0.3355
مال,ميزانية,0.326
مال,مرض,0.3126
مال,شعر,0.3117
مال,زوجة,0.3114
مال,كلب,0.3096
مال,"
تسوق",0.3075
مال,زوج,0.3057
مال,تعليم,0.2951
مال,حكومة,0.2849
مال,زواج,0.2845
مال,غيرة,0.2818
مال,جار,0.2808
مال,أخلاق,0.2789
مال,موظف,0.2757
مال,ولد,0.2699
مال,معلم,0.2684
مال,مجتمع,0.2669
نيّة,شجاعة,0.2967
نيّة,إيمان,0.2902
نيّة,عقيدة,0.2711
نيّة,عبادة,0.2705
نيّة,مفارقة,0.2603
نيّة,كنيسة,0.2553
نيّة,تسامح,0.2547
نيّة,حكومة,0.2523
نيّة,عاملة,0.2422
نيّة,طاعة,0.2412
نيّة,تقدير,0.2263
نيّة,صدق,0.2261
نيّة,صداقة,0.2206
نيّة,قداسة,0.2199
نيّة,وفاء,0.2194
نيّة,تقاليد,0.2186
نيّة,مغفرة,0.2173
نيّة,شرف,0.2161
نيّة,قبول,0.2148
نيّة,إعلام,0.2138
يوم,احتفال,0.4151
يوم,صدر,0.3314
يوم,غروب,0.3312
يوم,ولادة,0.3178
يوم,"
تسوق",0.3112
يوم,شروق,0.3061
يوم,حادثة,0.3044
يوم,حكمة,0.2963
يوم,مسجد,0.293
يوم,زفاف,0.2889
يوم,تذكرة,0.2801
يوم,طفل,0.2779
يوم,مرض,0.2767
يوم,بلوغ,0.2682
يوم,شمس,0.2679
يوم,ولد,0.2633
يوم,كوب,0.2579
يوم,رجل,0.2579
يوم,ألم,0.2534
يوم,عين,0.2475
ضيافة,فندق,0.4046
ضيافة,غرفة,0.3819
ضيافة,مجتمع,0.3377
ضيافة,قهوة,0.3267
ضيافة,مكتب,0.3217
ضيافة,مكتبة,0.3146
ضيافة,زفاف,0.3124
ضيافة,زوجة,0.3111
ضيافة,ثقافة,0.3032
ضيافة,طاولة,0.3002
ضيافة,سفارة,0.2994
ضيافة,حياة,0.2933
ضيافة,ابنة,0.2908
ضيافة,عائلة,0.2903
ضيافة,دولة,0.2881
ضيافة,مسجد,0.2836
ضيافة,مدرسة,0.2776
ضيافة,سيارة,0.2747
ضيافة,طائرة,0.274
ضيافة,كنيسة,0.2691
شيطان,كلب,0.4009
شيطان,حمار,0.3959
شيطان,رجل,0.3893
شيطان,طائر,0.3571
شيطان,مرض,0.3367
شيطان,عنكبوت,0.3307
شيطان,امرأة,0.3219
شيطان,جهنم,0.312
شيطان,نسر,0.3043
شيطان,طفل,0.3033
شيطان,ابنة,0.3016
شيطان,غابة,0.2969
شيطان,ملحد,0.2938
شيطان,بنت,0.2864
شيطان,طبيب,0.2825
شيطان,عين,0.2797
شيطان,مصباح,0.2783
شيطان,ابن,0.278
شيطان,صحراء,0.2772
شيطان,شرطي,0.2768
طفولة,حياة,0.4672
طفولة,صداقة,0.4092
طفولة,عائلة,0.3991
طفولة,ولادة,0.3904
طفولة,طفل,0.3782
طفولة,زواج,0.3529
طفولة,إنسانية,0.3524
طفولة,مدرسة,0.3513
طفولة,تعليم,0.3477
طفولة,مجتمع,0.3418
طفولة,قطة,0.3325
طفولة,ثقافة,0.3203
طفولة,سعادة,0.3107
طفولة,زوجة,0.2992
طفولة,أخلاق,0.2977
طفولة,مثالية,0.2972
طفولة,حضارة,0.296
طفولة,امرأة,0.2895
طفولة,ابنة,0.2849
طفولة,شجرة,0.2777
هدية,مثالية,0.3676
هدية,حذاء,0.356
هدية,تذكرة,0.3514
هدية,سيارة,0.3509
هدية,زفاف,0.3418
هدية,زجاجة,0.3412
هدية,وفاء,0.3384
هدية,قبعة,0.3345
هدية,نعمة,0.3265
هدية,زوجة,0.323
هدية,سلة,0.3218
هدية,احتفال,0.3084
هدية,معلومة,0.3038
هدية,قميص,0.2989
هدية,قهوة,0.2968
هدية,صداقة,0.2939
هدية,تقدير,0.2907
هدية,زوج,0.2853
هدية,إصبع,0.2785
هدية,روحانية,0.2759
تعصب,تسامح,0.4023
تعصب,غيرة,0.3757
تعصب,تشجيع,0.3043
تعصب,عقيدة,0.3024
تعصب,تواضع,0.2947
تعصب,إلحاد,0.2857
تعصب,أخلاق,0.2765
تعصب,إعجاب,0.2689
تعصب,فساد,0.2609
تعصب,تضخم,0.256
تعصب,مرض,0.2542
تعصب,إذلال,0.2532
تعصب,"
تسوق",0.2468
تعصب,عقل,0.2456
تعصب,ختان,0.2444
تعصب,قبول,0.2354
تعصب,تقاليد,0.2252
تعصب,شجاعة,0.2242
تعصب,ثقافة,0.2229
تعصب,ملحد,0.2215
حد,أب,0.2609
حد,حظ,0.2455
حد,أم,0.2206
حد,بلوغ,0.2084
حد,تقدير,0.2019
حد,حج,0.1917
حد,مخ,0.1752
حد,شماعة,0.1224
حد,نجاسة,0.1183
حد,مناخ,0.1171
حد,إجهاض,0.1152
حد,ملحد,0.1128
حد,عري,0.1123
حد,إذلال,0.1061
حد,معلم,0.1058
حد,احتفال,0.1052
حد,منتج,0.1038
حد,تشجيع,0.1036
حد,عامل,0.0981
حد,جهنم,0.0924
مقبرة,جثة,0.4962
مقبرة,مسجد,0.4851
مقبرة,كنيسة,0.4509
مقبرة,مدرسة,0.4369
مقبرة,معبد,0.4128
مقبرة,منطقة,0.4114
مقبرة,بلدة,0.4094
مقبرة,غابة,0.3868
مقبرة,مبنى,0.3771
مقبرة,فندق,0.3479
مقبرة,مكتبة,0.3303
مقبرة,عائلة,0.3238
مقبرة,صحراء,0.3172
مقبرة,طائرة,0.3053
مقبرة,ابنة,0.2989
مقبرة,غرفة,0.2916
مقبرة,زوجة,0.2915
مقبرة,جنة,0.2904
مقبرة,حضارة,0.2887
مقبرة,سيارة,0.286
الناس,أخلاق,0.3551
الناس,مجتمع,0.333
الناس,رجل,0.3179
الناس,"
تسوق",0.3134
الناس,الله,0.3099
الناس,حياة,0.2909
الناس,إعلام,0.2658
الناس,امرأة,0.2613
الناس,ثقافة,0.2556
الناس,تواضع,0.2531
الناس,قداسة,0.2527
الناس,غيرة,0.2516
الناس,سعادة,0.2457
الناس,مسجد,0.2451
الناس,تكاثر,0.2442
الناس,فساد,0.2426
الناس,عبادة,0.2419
الناس,إنسانية,0.2387
الناس,حكومة,0.235
الناس,عدالة,0.2311
الكحول,زجاجة,0.3697
