Arabic word,English word,Arabic mean,English Mean,abs_err
نعمة,blessing,4.888888889,2.19,2.7
حياة,life,2.166666667,4.59,2.42
تكاثر,reproduction,3.222222222,4.79,1.57
يوم,day,2.388888889,3.92,1.53
حضارة,civilization,1.833333333,3.32,1.49
مجتمع,community,2.055555556,3.52,1.46
حد,boarder,2.066666667,3.52,1.45
وطن,homeland,2.055555556,3.45,1.39
قطاع,sector,2.111111111,3.41,1.3
غزو,invasion,2.444444444,3.65,1.21
إعلام,media,2.444444444,3.57,1.13
بلدة,town,3.555555556,4.64,1.08
عدوى,infection,3.055555556,4.1,1.04
حج,pilgrimage,3.176470588,2.15,1.03
جنة,heaven,2.722222222,1.81,0.91
دولة,country,3.277777778,4.17,0.89
جمال,beauty,2.055555556,2.93,0.87
شرف,Honor,1.277777778,2.15,0.87
شيطان,devil,2.555555556,3.41,0.85
إلحاد,atheism,1.388888889,2.23,0.84
زواج,marriage,3.333333333,2.51,0.82
حادثة,accident,4.055555556,3.26,0.8
عري,nudity,3.333333333,4.13,0.8
ملحد,atheist,2.166666667,2.93,0.76
معلومة,information,2.111111111,2.87,0.76
