word,human_mean,gpt_mean,abs_err
tit,4.64,1.0,3.6399999999999997
parenthesis,4.78,2.0,2.7800000000000002
colon,4.66,2.0,2.66
constable,4.54,2.0,2.54
bailiff,4.5,2.0,2.5
nigger,3.5,1.0,2.5
courage,1.52,4.0,2.48
shilling,4.46,2.0,2.46
ad,4.46,2.0,2.46
anthrax,4.44,2.0,2.4400000000000004
asylum,4.41,2.0,2.41
ledger,4.36,2.0,2.3600000000000003
bliss,1.37,3.667,2.2969999999999997
reality,1.72,4.0,2.2800000000000002
grail,4.23,2.0,2.2300000000000004
cunt,4.21,2.0,2.21
chancellor,4.2,2.0,2.2
glossary,4.19,2.0,2.1900000000000004
obituary,4.18,2.0,2.1799999999999997
archbishop,4.14,2.0,2.1399999999999997
baron,4.14,2.0,2.1399999999999997
chromosome,4.11,2.0,2.1100000000000003
meningitis,4.11,2.0,2.1100000000000003
phosphate,4.08,2.0,2.08
splendor,1.59,3.667,2.077
