word,concreteness,predicted,abs_err
nutshell,4.29,2.248848689,2.04
stance,4.04,2.145260803,1.89
laughter,4.22,2.435648861,1.78
handshake,4.52,2.748275821,1.77
alpha,1.81,3.475022363,1.67
roadblock,4.71,3.056059498,1.65
accompaniment,2.26,3.861350577,1.6
diploma,4.93,3.325267979,1.6
snapshot,4.68,3.075970752,1.6
reformer,1.92,3.511505985,1.59
receipt,4.86,3.28528541,1.57
applause,4.29,2.719622307,1.57
taker,2.3,3.850611721,1.55
yahoo,2.58,4.114508575,1.53
canon,4.56,3.042476396,1.52
backdrop,4.48,2.96522377,1.51
parenthesis,4.78,3.272252446,1.51
comma,4.65,3.153460875,1.5
commuter,3.03,4.516107542,1.49
blueprint,4.77,3.286560756,1.48
version,1.7,3.180272648,1.48
hurdle,3.97,2.534505582,1.44
case,3.93,2.493488662,1.44
gift,4.56,3.124682899,1.44
rigor,3.36,1.917741614,1.44
