query_word,neighbor,cosine_similarity
nutshell,gist,0.6041
nutshell,summary,0.5363
nutshell,scenario,0.5341
nutshell,antithesis,0.527
nutshell,conundrum,0.5106
nutshell,fact,0.5075
nutshell,caveat,0.5062
nutshell,rationale,0.5052
nutshell,premise,0.4979
nutshell,example,0.4956
nutshell,analogy,0.4947
nutshell,paradox,0.4918
nutshell,theory,0.4846
nutshell,crux,0.4839
nutshell,synopsis,0.478
nutshell,dilemma,0.4748
nutshell,context,0.4734
nutshell,framework,0.4724
nutshell,reason,0.4705
nutshell,principle,0.4703
nutshell,retrospect,0.4687
nutshell,contradiction,0.4669
nutshell,part,0.4627
nutshell,essence,0.4606
nutshell,overview,0.4592
nutshell,preamble,0.4589
nutshell,metaphor,0.4572
nutshell,misconception,0.4543
nutshell,methodology,0.4538
nutshell,description,0.4534
nutshell,philosophy,0.4487
nutshell,paradigm,0.4431
nutshell,comparison,0.4419
nutshell,explanation,0.4416
nutshell,definition,0.4413
stance,attitude,0.5893
stance,viewpoint,0.5768
stance,opposition,0.5397
stance,policy,0.5273
stance,mindset,0.5064
stance,demeanor,0.5054
stance,rhetoric,0.505
stance,perspective,0.4962
stance,style,0.4872
stance,ideology,0.4862
stance,positioning,0.4848
stance,tactic,0.4829
stance,side,0.4801
stance,reasoning,0.4797
stance,opinion,0.4793
stance,trajectory,0.4789
stance,belief,0.4775
stance,neutrality,0.4774
stance,mentality,0.4771
stance,principle,0.4764
stance,ethos,0.4754
stance,phrasing,0.4753
stance,aspect,0.475
stance,situation,0.4749
stance,insistence,0.4742
stance,opponent,0.4732
stance,assertion,0.4727
stance,orientation,0.4725
stance,rationale,0.4717
stance,strategy,0.4699
stance,agenda,0.4695
stance,outlook,0.4616
stance,footing,0.4608
stance,movement,0.4607
stance,pronouncement,0.4606
laughter,joy,0.632
laughter,humor,0.616
laughter,excitement,0.6012
laughter,happiness,0.5867
laughter,amusement,0.5836
laughter,sadness,0.5791
laughter,glee,0.5606
laughter,fun,0.5456
laughter,mischief,0.5446
laughter,ecstasy,0.5398
laughter,conversation,0.5396
laughter,heartbreak,0.5362
laughter,enthusiasm,0.5357
laughter,optimism,0.5336
laughter,camaraderie,0.5312
laughter,indignation,0.5291
laughter,mockery,0.5228
laughter,grief,0.5227
laughter,amazement,0.5216
laughter,enjoyment,0.5216
laughter,astonishment,0.5206
laughter,embarrassment,0.5201
laughter,uproar,0.5184
laughter,heartache,0.5167
laughter,confusion,0.5133
laughter,frustration,0.5111
laughter,comedy,0.5082
