word,run1,run2,run3,mean
إجهاض,3,3,3,3
قبول,3,3,3,3
حادثة,3,3,3,3
إعجاب,3,3,3,3
تبني,3,3,3,3
طائرة,5,5,4,4.667
الكحول,3,3,3,3
سفير,3,3,3,3
تفاحة,5,5,5,5
تقدير,3,3,3,3
منطقة,3,3,3,3
إلحاد,3,3,3,3
ملحد,2,3,3,2.667
طفل,5,5,5,5
كرة,5,5,5,5
موز,5,5,5,5
سلة,4,4,4,4
لحية,4,4,4,4
جمال,3,3,3,3
اعتقاد,3,3,3,3
طائر,4,4,4,4
نعمة,3,3,3,3
دم,5,5,5,5
حد,3,3,3,3
زجاجة,5,5,5,5
ولد,5,5,5,5
مخ,4,4,4,4
شجاعة,3,3,3,3
صدر,4,4,4,4
عروس,4,4,4,4
مكنسة,5,4,4,4.333
ميزانية,2,2,2,2
مبنى,4,4,4,4
بيروقراطية,2,2,2,2
فراشة,4,4,4,4
سيارة,5,5,5,5
قطة,5,5,5,5
مقبرة,4,4,4,4
رقابة,3,3,3,3
احتفال,4,4,4,4
ولادة,3,3,3,3
طفولة,3,3,3,3
كنيسة,3,3,3,3
ختان,3,3,3,3
حضارة,3,3,3,3
مناخ,3,3,3,3
قهوة,5,5,5,5
مجتمع,3,3,3,3
كمبيوتر,5,5,5,5
مفهوم,3,3,3,3
مؤامرة,3,3,3,3
جثة,4,4,4,4
فساد,2,2,2,2
دولة,3,3,3,3
ثقافة,3,3,3,3
كوب,5,5,5,5
ابنة,3,3,3,3
يوم,3,3,3,3
ديمقراطية,2,2,3,2.333
صحراء,4,4,4,4
شيطان,2,2,2,2
طبيبة,4,4,4,4
طبيب,4,4,4,4
كلب,5,5,5,5
عقيدة,2,2,2,2
حمار,5,5,5,5
سائق,4,3,3,3.333
نسر,5,5,5,5
تعليم,3,3,3,3
سفارة,3,3,3,3
موظفة,4,4,4,4
موظف,3,3,3,3
تشجيع,3,3,3,3
عين,5,5,5,5
إيمان,3,2,2,2.333
عائلة,3,3,3,3
مجاعة,2,2,2,2
فلاح,4,4,4,4
أب,4,4,4,4
جنين,3,3,3,3
إصبع,4,5,4,4.333
غابة,4,4,4,4
مغفرة,2,2,2,2
حرية,3,3,3,3
صداقة,3,3,3,3
أثاث,4,4,4,4
كرم,4,4,4,4
هدية,4,4,4,4
بنت,4,4,4,4
قفاز,4,4,4,4
الله,3,3,3,3
خير,3,3,3,3
حكومة,3,3,3,3
شعر,4,5,4,4.333
مصافحة,4,4,4,4
شماعة,4,4,4,4
سعادة,3,3,3,3
قبعة,4,4,4,4
جنة,3,3,3,3
جهنم,2,2,2,2
مساعد,3,3,3,3
قداسة,2,2,2,2
وطن,3,3,3,3
صدق,3,3,3,3
شرف,3,3,3,3
ضيافة,3,3,3,3
فندق,4,4,4,4
إنسانية,3,3,3,3
إذلال,2,2,2,2
زوج,3,3,3,3
فكرة,2,2,2,2
مثالية,2,2,2,2
مرض,3,3,3,3
خلود,3,3,3,3
نجاسة,2,2,2,2
عدوى,3,3,3,3
تضخم,2,2,3,2.333
معلومة,3,3,3,3
نيّة,2,2,2,2
جماع,3,3,3,3
تعصب,2,2,2,2
غزو,3,3,3,3
غيرة,2,2,2,2
عدالة,1,1,1,1
مصباح,5,5,5,5
غسيل,4,4,3,3.667
مكتبة,4,4,4,4
حياة,3,3,3,3
برق,4,4,4,4
حبيب,3,3,3,3
وفاء,4,4,3,3.667
حظ,2,2,2,2
رجل,4,4,4,4
مدير,3,3,3,3
زواج,3,3,3,3
إعلام,3,3,3,3
دواء,4,4,4,4
عقل,2,2,2,2
تواضع,2,2,2,2
مال,4,4,3,3.667
أخلاق,2,2,2,2
مسجد,4,4,4,4
أم,4,4,4,4
جبل,4,5,5,4.667
جارة,4,3,4,3.667
جار,4,4,4,4
أخبار,3,3,3,3
صحيفة,4,4,4,4
عري,3,3,3,3
طاعة,3,3,3,3
مكتب,4,4,4,4
ألم,4,4,4,4
مفارقة,2,2,2,2
الناس,3,3,3,3
حج,4,4,4,4
شِعر,3,3,3,3
شرطية,3,3,3,3
شرطي,4,4,4,4
سجن,3,3,3,3
خصوصية,3,3,3,3
منتج,4,4,3,3.667
برنامج,3,3,3,3
بلوغ,3,3,3,3
نقاء,3,3,3,3
تكاثر,3,3,3,3
مسؤولية,3,3,3,3
غرفة,4,4,4,4
قدر,3,3,3,3
مدرسة,3,3,3,3
قطاع,3,3,3,3
قميص,4,5,4,4.333
حذاء,5,5,5,5
تسوق,3,3,3,3
أريكة,5,5,5,5
ابن,4,4,4,4
أغنية,4,4,4,4
عنكبوت,4,4,4,4
روحانية,2,2,2,2
طالبة,4,4,4,4
طالب,3,3,3,3
شمس,5,5,5,5
شروق,4,3,4,3.667
غروب,4,4,4,4
طاولة,5,5,5,5
تاكسي,4,4,4,4
معلمة,3,3,3,3
معلم,3,4,4,3.667
معبد,4,3,3,3.333
تذكرة,4,4,4,4
تسامح,3,3,3,3
بلدة,4,4,4,4
تقاليد,3,3,3,3
شجرة,5,5,5,5
دفء,4,4,4,4
زفاف,3,3,3,3
زوجة,3,4,4,3.667
نافذة,4,4,4,4
حكمة,3,3,3,3
امرأة,4,4,4,4
عاملة,4,3,3,3.333
عامل,3,3,3,3
عبادة,2,2,2,2
