word,run1,run2,run3,mean
abandonment,2,2,2,2
abbreviation,2,2,2,2
abdomen,5,5,5,5
abduction,2,2,2,2
ability,3,3,3,3
abnormality,2,2,2,2
abode,3,3,3,3
abolition,2,2,2,2
abomination,2,2,2,2
abortion,3,3,3,3
absence,2,2,2,2
absentee,2,3,3,2.667
absorption,3,3,3,3
abstinence,2,2,2,2
abstraction,2,2,2,2
absurdity,2,2,2,2
abundance,3,3,3,3
abuser,3,2,2,2.333
abyss,2,2,2,2
academia,2,2,2,2
academy,3,3,3,3
acceleration,3,3,3,3
accelerator,4,4,4,4
acceptance,3,3,3,3
accessibility,3,3,3,3
accident,4,4,4,4
accolade,2,2,2,2
accommodation,3,3,3,3
accompaniment,3,3,3,3
accomplice,3,3,3,3
accomplishment,3,3,3,3
accordion,5,5,5,5
accountability,2,2,2,2
accountancy,2,2,2,2
accountant,3,3,3,3
accounting,2,2,2,2
accreditation,2,2,2,2
accumulation,3,3,3,3
accuracy,3,3,3,3
accusation,3,3,3,3
accuser,3,3,3,3
ace,4,4,4,4
achievement,3,3,3,3
acidity,4,4,4,4
acknowledgement,3,3,3,3
acne,4,4,4,4
acorn,5,5,5,5
acoustics,3,3,3,3
acquaintance,3,3,3,3
acquisition,3,3,3,3
acre,4,5,5,4.667
acronym,2,2,2,2
action,4,4,4,4
activation,3,3,3,3
activism,3,3,3,3
activity,4,4,4,4
actor,4,4,4,4
actress,5,5,5,5
actuality,2,2,2,2
acupuncture,3,3,3,3
ad,2,2,2,2
adage,2,2,2,2
adaptation,3,3,3,3
adapter,4,4,4,4
adaptor,3,4,3,3.333
addendum,2,2,2,2
addiction,2,2,2,2
adequacy,2,2,2,2
adherence,3,3,3,3
adhesion,3,3,3,3
adjudication,2,2,2,2
adjustment,3,3,3,3
admin,2,2,2,2
administration,2,2,2,2
administrator,3,3,3,3
admiral,3,3,3,3
admiration,3,3,3,3
admirer,3,3,3,3
admission,3,3,3,3
adolescence,3,3,3,3
adopter,3,3,3,3
adoption,3,3,3,3
adoration,2,2,3,2.333
adrenaline,4,4,4,4
adultery,2,2,2,2
adulthood,3,3,3,3
advancement,3,3,3,3
advantage,3,3,3,3
advent,3,3,3,3
adventure,4,4,4,4
adventurer,4,4,4,4
adversary,3,3,3,3
adversity,2,3,3,2.667
advertisement,3,3,3,3
advertiser,3,3,3,3
advertising,3,3,3,3
advice,3,3,3,3
adviser,3,3,3,3
advisor,3,3,3,3
advocacy,2,2,2,2
aerosol,3,3,3,3
aesthetics,2,2,2,2
affair,2,2,2,2
affection,4,4,4,4
affidavit,2,2,2,2
affiliation,2,3,2,2.333
affirmation,3,3,3,3
affliction,2,2,2,2
affordability,3,3,3,3
aficionado,3,3,3,3
afterlife,2,2,2,2
aftermarket,3,3,3,3
aftermath,3,3,2,2.667
afternoon,4,4,4,4
afterthought,2,2,2,2
agency,3,3,3,3
agenda,3,3,3,3
agent,3,3,3,3
aggregation,2,2,2,2
aggression,3,3,3,3
aggressor,3,3,3,3
agility,3,3,3,3
agitation,2,2,3,2.333
agony,2,2,2,2
agreement,3,3,2,2.667
agriculture,4,4,4,4
aide,3,3,3,3
ailment,3,3,3,3
airbag,4,4,4,4
aircraft,5,5,5,5
airfield,4,4,4,4
airflow,4,4,4,4
airline,4,4,4,4
airliner,5,5,5,5
airplane,5,5,5,5
airport,5,5,5,5
airship,4,4,4,4
airspace,3,3,3,3
airway,4,4,4,4
aisle,4,4,4,4
album,4,4,4,4
alchemy,2,2,2,2
alcohol,4,4,4,4
alcoholism,2,2,2,2
ale,4,4,4,4
algae,4,4,4,4
algebra,2,2,2,2
algorithm,2,2,2,2
alienation,2,2,2,2
alignment,3,3,3,3
allegation,2,2,2,2
allegiance,2,2,2,2
allegory,2,2,2,2
allergen,3,3,2,2.667
allergy,3,3,3,3
alley,4,5,4,4.333
alleyway,4,4,4,4
alliance,2,2,3,2.333
alligator,5,5,5,5
allocation,2,2,2,2
allotment,3,3,3,3
allowance,3,3,3,3
alloy,4,4,4,4
allusion,2,2,2,2
alpha,3,3,3,3
alphabet,3,3,3,3
altar,4,4,4,4
alteration,3,3,3,3
alternator,3,3,4,3.333
altitude,3,3,3,3
altruism,2,2,2,2
amazement,3,3,3,3
ambassador,3,3,3,3
ambiance,3,3,3,3
ambience,3,3,3,3
ambiguity,2,2,2,2
ambition,3,3,3,3
ambivalence,2,2,2,2
ambulance,5,5,5,5
amendment,2,2,2,2
amends,3,3,3,3
amino,2,2,2,2
ammo,5,5,5,5
ammonia,5,4,5,4.667
ammunition,5,5,5,5
amnesia,2,2,2,2
amp,3,3,3,3
amplification,3,3,3,3
amplifier,4,4,4,4
amplitude,2,2,2,2
amputation,3,3,3,3
amusement,3,3,3,3
analogy,2,2,2,2
analysis,2,2,2,2
analyst,3,3,3,3
anarchism,2,2,2,2
anarchist,2,2,2,2
anarchy,2,2,2,2
anatomy,3,3,3,3
ancestor,3,3,3,3
ancestry,2,2,2,2
anecdote,3,3,3,3
anemia,2,2,2,2
anesthesia,2,2,2,2
angel,3,3,3,3
angler,4,4,4,4
angst,2,2,2,2
animation,3,3,3,3
animator,4,4,4,4
animosity,2,2,2,2
ankle,5,5,5,5
annexation,2,2,2,2
