bins,k,weighting,emb_type,emb_path,emb_fmt,fold,rmse,pearson_corr,pearson_p,spearman_corr,spearman_p
0,15,distance,fasttext,cc.ar.300.bin,bin,1,0.6901,0.8507,0,0.8329,0
0,15,distance,fasttext,cc.ar.300.bin,bin,2,0.6595,0.8972,0,0.8687,0
0,15,distance,fasttext,cc.ar.300.bin,bin,3,0.741,0.8841,0,0.8102,0
0,15,distance,fasttext,cc.ar.300.bin,bin,4,0.8105,0.8347,0,0.8304,0
0,15,distance,fasttext,cc.ar.300.bin,bin,5,0.5967,0.888,0,0.8852,0
0,15,distance,fasttext,cc.ar.300.bin,bin,all,0.6996,0.8709,0,0.8455,0
5,15,distance,fasttext,cc.ar.300.bin,bin,1,0.6378,0.8819,0,0.8584,0
5,15,distance,fasttext,cc.ar.300.bin,bin,2,0.6179,0.9151,0,0.8603,0
5,15,distance,fasttext,cc.ar.300.bin,bin,3,0.639,0.9133,0,0.8771,0
5,15,distance,fasttext,cc.ar.300.bin,bin,4,0.4616,0.95,0,0.9257,0
5,15,distance,fasttext,cc.ar.300.bin,bin,5,0.7652,0.8127,0,0.7784,0
5,15,distance,fasttext,cc.ar.300.bin,bin,all,0.6243,0.8946,0,0.86,0
10,15,distance,fasttext,cc.ar.300.bin,bin,1,0.652,0.8747,0,0.8856,0
10,15,distance,fasttext,cc.ar.300.bin,bin,2,0.6797,0.8729,0,0.8587,0
10,15,distance,fasttext,cc.ar.300.bin,bin,3,0.6665,0.8843,0,0.8522,0
10,15,distance,fasttext,cc.ar.300.bin,bin,4,0.6406,0.9096,0,0.8462,0
10,15,distance,fasttext,cc.ar.300.bin,bin,5,0.654,0.8764,0,0.8569,0
10,15,distance,fasttext,cc.ar.300.bin,bin,all,0.6586,0.8836,0,0.8599,0
15,15,distance,fasttext,cc.ar.300.bin,bin,1,0.6652,0.8958,0,0.8632,0
15,15,distance,fasttext,cc.ar.300.bin,bin,2,0.6291,0.8776,0,0.8368,0
15,15,distance,fasttext,cc.ar.300.bin,bin,3,0.8383,0.775,0,0.7759,0
15,15,distance,fasttext,cc.ar.300.bin,bin,4,0.586,0.9226,0,0.8361,0
15,15,distance,fasttext,cc.ar.300.bin,bin,5,0.5654,0.9366,0,0.9116,0
15,15,distance,fasttext,cc.ar.300.bin,bin,all,0.6568,0.8815,0,0.8447,0
20,15,distance,fasttext,cc.ar.300.bin,bin,1,0.7955,0.8044,0,0.7746,0
20,15,distance,fasttext,cc.ar.300.bin,bin,2,0.6397,0.9007,0,0.8565,0
20,15,distance,fasttext,cc.ar.300.bin,bin,3,0.5893,"0.9039, ",0,0.8781,0
20,15,distance,fasttext,cc.ar.300.bin,bin,4,0.6486,0.8688,0,0.869,0
20,15,distance,fasttext,cc.ar.300.bin,bin,5,0.5526,0.9499,0,0.924,0
20,15,distance,fasttext,cc.ar.300.bin,bin,all,0.6452,0.8856,0,0.8605,0
