k,weighting,emb_type,emb_path,emb_fmt,fold,rmse,pearson_corr,pearson_p,spearman_corr,spearman_p
20,distance,fasttext,wiki.ar.bin,bin,1,0.6877476017684117,0.8687799828719618,5.595244503394875e-11,0.8372754128622426,1.2492862952853331e-09
20,distance,fasttext,wiki.ar.bin,bin,2,0.7572819592259996,0.8659275004109548,1.553722877933203e-10,0.8488906474478858,8.295200233626523e-10
20,distance,fasttext,wiki.ar.bin,bin,3,0.75561721518638,0.892537943122559,6.764376133157803e-12,0.8100228997515276,1.9506715053579604e-08
20,distance,fasttext,wiki.ar.bin,bin,4,0.8458303476896484,0.8392007290239111,1.9681518562406594e-09,0.8259479221562102,5.877615138572269e-09
20,distance,fasttext,wiki.ar.bin,bin,5,0.5905507600556053,0.9040153475785948,1.3448742353408877e-12,0.9013568629502345,1.9894808216766668e-12
20,distance,fasttext,wiki.ar.bin,bin,all,0.727405576785209,0.8740923006015964,4.375171678872854e-10,0.8446987490336202,5.493025198324307e-09
20,distance,fasttext,cc.ar.300.bin,bin,1,0.5618488687751901,0.920003832171183,3.761528377684457e-14,0.892937763128389,2.8420083027494314e-12
20,distance,fasttext,cc.ar.300.bin,bin,2,0.7745258941508633,0.8375451233232554,2.268337595082862e-09,0.8701633445971523,9.88685306470548e-11
20,distance,fasttext,cc.ar.300.bin,bin,3,0.7112913433433581,0.9120260388303321,3.843861199204656e-13,0.8340684469682623,3.040662316070649e-09
20,distance,fasttext,cc.ar.300.bin,bin,4,0.8661416970557584,0.8153843809392812,1.3193118964023587e-08,0.7927338421939185,6.361973014951637e-08
20,distance,fasttext,cc.ar.300.bin,bin,5,0.610961214727306,0.8948928620694144,4.930905824636719e-12,0.8920059272280089,7.257835354739853e-12
20,distance,fasttext,cc.ar.300.bin,bin,all,0.7049538036104952,0.8759704474666933,3.093361893266957e-09,0.8563818648231463,1.3353872167978315e-08
20,distance,transformer,ar_bert_sent.vec,vec,1,0.7692989028369034,0.8337553912770526,1.6962720447926853e-09,0.8451316604974045,6.145458465788391e-10
20,distance,transformer,ar_bert_sent.vec,vec,2,0.7618478304570043,0.8708798448266215,9.144815622629485e-11,0.8597103813427713,2.936284462461612e-10
20,distance,transformer,ar_bert_sent.vec,vec,3,0.7331504337496502,0.9209375906804786,8.22964035431517e-14,0.8707792060777809,9.245837111228198e-11
20,distance,transformer,ar_bert_sent.vec,vec,4,0.8008232736301203,0.8653636279036261,1.648183013025035e-10,0.8569599636679629,3.854046553703522e-10
20,distance,transformer,ar_bert_sent.vec,vec,5,0.8189762679601529,0.7842741484450879,1.0904688654005343e-07,0.7827283254545468,1.2002106818712977e-07
20,distance,transformer,ar_bert_sent.vec,vec,all,0.7768193417267661,0.8550421206265734,2.2199901467755693e-08,0.8430619074080934,2.428142110128748e-08
20,distance,transformer,ar_gpt2_sent.vec,vec,1,0.6550980701259078,0.8962723165715994,1.7822861077575642e-12,0.8859172865182443,7.2332334909313615e-12
20,distance,transformer,ar_gpt2_sent.vec,vec,2,0.7285962268839962,0.902373662364756,1.7150279250202563e-12,0.9103247297324055,5.064055158523362e-13
20,distance,transformer,ar_gpt2_sent.vec,vec,3,0.7168326543312425,0.9182970914690476,1.3230898198915417e-13,0.8867483862904216,1.4279683496444525e-11
20,distance,transformer,ar_gpt2_sent.vec,vec,4,0.8070166336240603,0.8818187392670914,2.6150132511855192e-11,0.8499868419079237,7.494519363003755e-10
20,distance,transformer,ar_gpt2_sent.vec,vec,5,0.7579342698817385,0.8410383067845647,1.6781067556950325e-09,0.8318665759164391,3.6481238215427817e-09
20,distance,transformer,ar_gpt2_sent.vec,vec,all,0.733095570969389,0.8879600232914118,3.4157730224433093e-10,0.8729687640730868,8.839190160692771e-10
20,distance,transformer,ar_roberta_sent.vec,vec,1,1.034190593805948,0.555969660513336,0.0007813651596557958,0.5435854746711944,0.0010777242625430354
20,distance,transformer,ar_roberta_sent.vec,vec,2,1.1429638541236948,0.5168346904876203,0.002456024757958645,0.48762156655085936,0.004642078195085207
20,distance,transformer,ar_roberta_sent.vec,vec,3,1.1452411177354427,0.6292586810088068,0.0001143048838080676,0.6114176929690321,0.00020106614072880785
20,distance,transformer,ar_roberta_sent.vec,vec,4,1.1184776346441894,0.6268285260488935,0.00012369795980650042,0.6754752947027348,2.2180866707295262e-05
20,distance,transformer,ar_roberta_sent.vec,vec,5,0.9736061392902653,0.5796624661895388,0.0005073268380229525,0.5929593357976116,0.00034838975885266853
20,distance,transformer,ar_roberta_sent.vec,vec,all,1.0828958679199079,0.5817108048496391,0.0007965439198503923,0.5822118729382864,0.0012582878447834028
