k,weighting,emb_type,emb_path,emb_fmt,fold,rmse,pearson_corr,pearson_p,spearman_corr,spearman_p
5,distance,fasttext,ar_gpt2_sent.vec,vec,1,0.6391833396892348,0.8506414665114257,3.6490002712883927e-10,0.8142081325717676,8.22469953561679e-09
5,distance,fasttext,ar_gpt2_sent.vec,vec,2,0.7418352159083245,0.8263253288663227,5.704600228427079e-09,0.8173483723644906,1.1396319927052964e-08
5,distance,fasttext,ar_gpt2_sent.vec,vec,3,0.6322174163181427,0.894837534562448,4.968091152507531e-12,0.840125722221333,1.8168266728801108e-09
5,distance,fasttext,ar_gpt2_sent.vec,vec,4,0.7268989680409058,0.8664237302546794,1.4747582933037558e-10,0.8758607937017532,5.247312827446474e-11
5,distance,fasttext,ar_gpt2_sent.vec,vec,5,0.5830121053062516,0.8789673625181604,3.6660759533426945e-11,0.8547855360199336,4.759728732316059e-10
5,distance,fasttext,ar_gpt2_sent.vec,vec,all,0.6646294090525717,0.8634390845426072,1.2517209871144453e-09,0.8404657113758557,4.393258427411187e-09
10,distance,fasttext,ar_gpt2_sent.vec,vec,1,0.6301425371892302,0.864445016915016,8.973861264801994e-11,0.8177183708768399,6.280930438195327e-09
10,distance,fasttext,ar_gpt2_sent.vec,vec,2,0.6231665422862142,0.8916869466802193,7.569469926976989e-12,0.9029893169223137,1.56636639580601e-12
10,distance,fasttext,ar_gpt2_sent.vec,vec,3,0.6018307043699477,0.9379284581237137,2.450234753504743e-15,0.8917043387702066,7.55216400319073e-12
10,distance,fasttext,ar_gpt2_sent.vec,vec,4,0.6803940262128528,0.893162624100035,6.224690041511533e-12,0.9046707967629674,1.2189752563187162e-12
10,distance,fasttext,ar_gpt2_sent.vec,vec,5,0.6340328179790182,0.8590511323997012,3.1357077720495955e-10,0.8610194931680842,2.574541515645733e-10
10,distance,fasttext,ar_gpt2_sent.vec,vec,all,0.6339133256074526,0.889254835643737,8.34212000112443e-11,0.8756204633000824,1.3097444190830433e-09
15,distance,fasttext,ar_gpt2_sent.vec,vec,1,0.6651080160503949,0.8784591688252247,1.8295401631883873e-11,0.8720434875029587,3.877273629948159e-11
15,distance,fasttext,ar_gpt2_sent.vec,vec,2,0.6652270107314024,0.8915705478898266,7.686240667417471e-12,0.8866680234198592,1.4424421933426335e-11
15,distance,fasttext,ar_gpt2_sent.vec,vec,3,0.6432575765099263,0.9384094875642488,2.187442183193753e-15,0.8964767374544439,3.9695887676810174e-12
15,distance,fasttext,ar_gpt2_sent.vec,vec,4,0.7630902592942131,0.8657790711951519,1.5780903510266484e-10,0.8780628321522919,4.073626310973751e-11
15,distance,fasttext,ar_gpt2_sent.vec,vec,5,0.6763306331986358,0.8692478757852342,1.0915935141102015e-10,0.8637697683805035,1.9446435000443344e-10
15,distance,fasttext,ar_gpt2_sent.vec,vec,all,0.6826026991569145,0.8886932302519372,5.859044325103391e-11,0.8794041697820114,5.847347202295197e-11
20,distance,fasttext,ar_gpt2_sent.vec,vec,1,0.6550980701259078,0.8962723165715994,1.7822861077575642e-12,0.8859172865182443,7.2332334909313615e-12
20,distance,fasttext,ar_gpt2_sent.vec,vec,2,0.7285962268839962,0.902373662364756,1.7150279250202563e-12,0.9103247297324055,5.064055158523362e-13
20,distance,fasttext,ar_gpt2_sent.vec,vec,3,0.7168326543312425,0.9182970914690476,1.3230898198915417e-13,0.8867483862904216,1.4279683496444525e-11
20,distance,fasttext,ar_gpt2_sent.vec,vec,4,0.8070166336240603,0.8818187392670914,2.6150132511855192e-11,0.8499868419079237,7.494519363003755e-10
20,distance,fasttext,ar_gpt2_sent.vec,vec,5,0.7579342698817385,0.8410383067845647,1.6781067556950325e-09,0.8318665759164391,3.6481238215427817e-09
20,distance,fasttext,ar_gpt2_sent.vec,vec,all,0.733095570969389,0.8879600232914118,3.4157730224433093e-10,0.8729687640730868,8.839190160692771e-10
25,distance,fasttext,ar_gpt2_sent.vec,vec,1,0.6893736328797052,0.9064712935993446,3.8530586846643895e-13,0.8931049173333925,2.777322692488926e-12
25,distance,fasttext,ar_gpt2_sent.vec,vec,2,0.7922641693586735,0.8830872468741049,2.2438126218998774e-11,0.9033560875628182,1.4835753895172223e-12
25,distance,fasttext,ar_gpt2_sent.vec,vec,3,0.798360252725158,0.89845323194366,3.0134838918161493e-12,0.8689436681223051,1.1279231281253663e-10
