word,concreteness,predicted,fold,k,weighting,embedding
abomination,2.23,2.512662181522415,1,35,distance,crawl-300d-2M-subword.bin
absorption,3.22,2.790170766106667,1,35,distance,crawl-300d-2M-subword.bin
absurdity,1.25,1.959870704899758,1,35,distance,crawl-300d-2M-subword.bin
abuser,3.86,3.5364804313591205,1,35,distance,crawl-300d-2M-subword.bin
acceptance,2.21,2.116685825562869,1,35,distance,crawl-300d-2M-subword.bin
accolade,2.46,2.6889622117003626,1,35,distance,crawl-300d-2M-subword.bin
accomplice,3.34,3.5175446453098806,1,35,distance,crawl-300d-2M-subword.bin
accountancy,1.68,3.0706730142091994,1,35,distance,crawl-300d-2M-subword.bin
accumulation,2.97,2.6792922588647494,1,35,distance,crawl-300d-2M-subword.bin
acidity,3.4,3.2222880504265077,1,35,distance,crawl-300d-2M-subword.bin
acknowledgement,2.62,2.535808461868955,1,35,distance,crawl-300d-2M-subword.bin
acoustics,3.12,3.4803474444392,1,35,distance,crawl-300d-2M-subword.bin
adage,1.86,2.0731628442471615,1,35,distance,crawl-300d-2M-subword.bin
adapter,3.82,4.0263061290293845,1,35,distance,crawl-300d-2M-subword.bin
addendum,3.44,3.170351858656866,1,35,distance,crawl-300d-2M-subword.bin
adhesion,3.32,3.09365082007851,1,35,distance,crawl-300d-2M-subword.bin
adjudication,2.35,2.4001216798517993,1,35,distance,crawl-300d-2M-subword.bin
adolescence,2.81,2.903571374442378,1,35,distance,crawl-300d-2M-subword.bin
adopter,3.33,3.7413495447827905,1,35,distance,crawl-300d-2M-subword.bin
adultery,2.79,2.5873201181811094,1,35,distance,crawl-300d-2M-subword.bin
advent,2.48,2.495385818364625,1,35,distance,crawl-300d-2M-subword.bin
adventurer,3.73,3.724359793679207,1,35,distance,crawl-300d-2M-subword.bin
advertisement,3.77,3.8355626487170924,1,35,distance,crawl-300d-2M-subword.bin
advertising,3.88,3.384560098031926,1,35,distance,crawl-300d-2M-subword.bin
aerosol,4.23,4.047522219478686,1,35,distance,crawl-300d-2M-subword.bin
affair,2.45,2.73434357949938,1,35,distance,crawl-300d-2M-subword.bin
affirmation,2.12,2.0955295793406963,1,35,distance,crawl-300d-2M-subword.bin
affliction,2.27,2.6591278072161844,1,35,distance,crawl-300d-2M-subword.bin
aficionado,2.55,3.3372496373326936,1,35,distance,crawl-300d-2M-subword.bin
agility,2.38,2.2261810522060324,1,35,distance,crawl-300d-2M-subword.bin
airline,4.0,4.062429093018166,1,35,distance,crawl-300d-2M-subword.bin
airport,4.87,4.5446281840482525,1,35,distance,crawl-300d-2M-subword.bin
ale,4.65,4.673730313506793,1,35,distance,crawl-300d-2M-subword.bin
alignment,3.26,2.6570913507949196,1,35,distance,crawl-300d-2M-subword.bin
allegiance,1.77,1.9989119104637334,1,35,distance,crawl-300d-2M-subword.bin
alliance,2.5,2.5475647778792556,1,35,distance,crawl-300d-2M-subword.bin
alteration,3.21,2.5174454327549616,1,35,distance,crawl-300d-2M-subword.bin
alternator,4.27,4.304090713331641,1,35,distance,crawl-300d-2M-subword.bin
ambivalence,1.7,1.8273491435410525,1,35,distance,crawl-300d-2M-subword.bin
amendment,2.44,2.6943813325799555,1,35,distance,crawl-300d-2M-subword.bin
amino,2.74,3.787722149564705,1,35,distance,crawl-300d-2M-subword.bin
ammonia,4.44,4.13428732387647,1,35,distance,crawl-300d-2M-subword.bin
ammunition,4.88,4.425118158680931,1,35,distance,crawl-300d-2M-subword.bin
ancestor,3.24,3.65805364451877,1,35,distance,crawl-300d-2M-subword.bin
anesthesia,3.41,3.5650323051576214,1,35,distance,crawl-300d-2M-subword.bin
ankle,4.81,4.549393431149319,1,35,distance,crawl-300d-2M-subword.bin
anonymity,1.88,2.090311439627869,1,35,distance,crawl-300d-2M-subword.bin
ant,4.86,4.642788778187078,1,35,distance,crawl-300d-2M-subword.bin
anthrax,4.44,3.9475596828184063,1,35,distance,crawl-300d-2M-subword.bin
anthropologist,4.0,3.969169756918362,1,35,distance,crawl-300d-2M-subword.bin
antibody,3.48,3.6552089543109996,1,35,distance,crawl-300d-2M-subword.bin
antidote,3.42,2.636437293233615,1,35,distance,crawl-300d-2M-subword.bin
anvil,4.96,4.71007520189674,1,35,distance,crawl-300d-2M-subword.bin
anxiety,2.21,2.2347107543478004,1,35,distance,crawl-300d-2M-subword.bin
apartment,4.9,4.549845637403236,1,35,distance,crawl-300d-2M-subword.bin
apologist,2.97,3.2121048977059012,1,35,distance,crawl-300d-2M-subword.bin
apparatus,3.78,3.1075301476691917,1,35,distance,crawl-300d-2M-subword.bin
appearance,2.57,2.5859754709414986,1,35,distance,crawl-300d-2M-subword.bin
appendix,4.25,3.8946272639603903,1,35,distance,crawl-300d-2M-subword.bin
appetizer,4.71,4.5843662591316505,1,35,distance,crawl-300d-2M-subword.bin
appraisal,3.11,2.8417718527661053,1,35,distance,crawl-300d-2M-subword.bin
apron,4.87,4.769699987712411,1,35,distance,crawl-300d-2M-subword.bin
archaeologist,4.45,3.965362880677489,1,35,distance,crawl-300d-2M-subword.bin
archives,3.93,3.788305777064692,1,35,distance,crawl-300d-2M-subword.bin
archivist,3.57,4.064582025759877,1,35,distance,crawl-300d-2M-subword.bin
argument,2.85,2.221309363377601,1,35,distance,crawl-300d-2M-subword.bin
aristocracy,2.97,2.7570573095702775,1,35,distance,crawl-300d-2M-subword.bin
aristocrat,3.76,3.8254512596159738,1,35,distance,crawl-300d-2M-subword.bin
army,4.7,3.91093774728614,1,35,distance,crawl-300d-2M-subword.bin
aroma,3.67,3.6039230738498405,1,35,distance,crawl-300d-2M-subword.bin
arthritis,3.5,3.5264668845740323,1,35,distance,crawl-300d-2M-subword.bin
artistry,2.0,2.544534907602335,1,35,distance,crawl-300d-2M-subword.bin
