bins,k,weighting,emb_type,emb_path,emb_fmt,fold,rmse,pearson_corr,pearson_p,spearman_corr,spearman_p
0,crawl-300d-2M-subword.bin,distance,fasttext,cc.ar.300.bin,bin,1,0.469,0.8948,0,0.896,0
0,crawl-300d-2M-subword.bin,distance,fasttext,cc.ar.300.bin,bin,2,0.4632,0.9003,0,0.8995,0
0,crawl-300d-2M-subword.bin,distance,fasttext,cc.ar.300.bin,bin,3,0.4213,0.92,0,0.9191,0
0,crawl-300d-2M-subword.bin,distance,fasttext,cc.ar.300.bin,bin,4,0.4296,0.9164,0,0.9179,0
0,crawl-300d-2M-subword.bin,distance,fasttext,cc.ar.300.bin,bin,5,0.4496,0.9076,0,0.9068,0
0,crawl-300d-2M-subword.bin,distance,fasttext,cc.ar.300.bin,bin,all,0.4465,0.9078,0,0.9078,0
5,crawl-300d-2M-subword.bin,distance,fasttext,cc.ar.300.bin,bin,1,0.4489,0.9068,0,0.9067,0
5,crawl-300d-2M-subword.bin,distance,fasttext,cc.ar.300.bin,bin,2,0.4396,0.9087,0,0.9106,0
5,crawl-300d-2M-subword.bin,distance,fasttext,cc.ar.300.bin,bin,3,0.4579,0.9047,0,0.9048,0
5,crawl-300d-2M-subword.bin,distance,fasttext,cc.ar.300.bin,bin,4,0.4349,0.9129,0,0.911,0
5,crawl-300d-2M-subword.bin,distance,fasttext,cc.ar.300.bin,bin,5,0.4518,0.9061,0,0.9055,0
5,crawl-300d-2M-subword.bin,distance,fasttext,cc.ar.300.bin,bin,all,0.4466,0.9079,0,0.9077,0
10,crawl-300d-2M-subword.bin,distance,fasttext,cc.ar.300.bin,bin,1,0.4503,0.906,0,0.904,0
10,crawl-300d-2M-subword.bin,distance,fasttext,cc.ar.300.bin,bin,2,0.4519,0.9064,0,0.907,0
10,crawl-300d-2M-subword.bin,distance,fasttext,cc.ar.300.bin,bin,3,0.4349,0.9142,0,0.915,0
10,crawl-300d-2M-subword.bin,distance,fasttext,cc.ar.300.bin,bin,4,0.4423,0.9096,0,0.9086,0
10,crawl-300d-2M-subword.bin,distance,fasttext,cc.ar.300.bin,bin,5,0.4453,0.908,0,0.9092,0
10,crawl-300d-2M-subword.bin,distance,fasttext,cc.ar.300.bin,bin,all,0.445,0.9088,0,0.9088,0
15,crawl-300d-2M-subword.bin,distance,fasttext,cc.ar.300.bin,bin,1,0.4474,0.9067,0,0.9043,0
