k,weighting,emb_type,emb_path,emb_fmt,fold,rmse,pearson_corr,pearson_p,spearman_corr,spearman_p
35,distance,fasttext,crawl-300d-2M-subword.bin,bin,1,0.46899143476832855,0.8947560494812675,0.0,0.8959641916397655,0.0
35,distance,fasttext,crawl-300d-2M-subword.bin,bin,2,0.46317379054671326,0.9002738086254878,0.0,0.8994612641431523,0.0
35,distance,fasttext,crawl-300d-2M-subword.bin,bin,3,0.42126251652437763,0.9199872976331684,0.0,0.9190577406708459,0.0
35,distance,fasttext,crawl-300d-2M-subword.bin,bin,4,0.42960758838733343,0.9163883376152819,0.0,0.9178927231043174,0.0
35,distance,fasttext,crawl-300d-2M-subword.bin,bin,5,0.4496359247237378,0.9076475301126296,0.0,0.9068038280769432,0.0
35,distance,fasttext,crawl-300d-2M-subword.bin,bin,all,0.44653425099009814,0.907810604693567,0.0,0.907835949527005,0.0
35,distance,fasttext,crawl-300d-2M.vec,vec,1,0.4912376098893647,0.8859979514503546,0.0,0.8870991896719373,0.0
35,distance,fasttext,crawl-300d-2M.vec,vec,2,0.47444189933993114,0.8983895915312415,0.0,0.897213459990832,0.0
35,distance,fasttext,crawl-300d-2M.vec,vec,3,0.4316601389048929,0.9194004053475439,0.0,0.9182018893388589,0.0
35,distance,fasttext,crawl-300d-2M.vec,vec,4,0.44507148150318054,0.9142916838498836,0.0,0.9142139781441257,0.0
35,distance,fasttext,crawl-300d-2M.vec,vec,5,0.4659215420677482,0.903640604579276,0.0,0.9036487830265006,0.0
35,distance,fasttext,crawl-300d-2M.vec,vec,all,0.46166653434102345,0.9043440473516599,0.0,0.9040754600344509,0.0
35,distance,fasttext,wiki-news-300d-1M-subword.vec,vec,1,0.4805776804500331,0.8896757003071332,0.0,0.8902160602005886,0.0
35,distance,fasttext,wiki-news-300d-1M-subword.vec,vec,2,0.47409539425782254,0.8960499326246001,0.0,0.8952764238589712,0.0
35,distance,fasttext,wiki-news-300d-1M-subword.vec,vec,3,0.43549528285760875,0.9144078145355963,0.0,0.9126962526702894,0.0
35,distance,fasttext,wiki-news-300d-1M-subword.vec,vec,4,0.44725344458549,0.9086657011799237,0.0,0.9084636951359212,0.0
35,distance,fasttext,wiki-news-300d-1M-subword.vec,vec,5,0.4631908512387826,0.9027131615831374,0.0,0.9016039041491355,0.0
35,distance,fasttext,wiki-news-300d-1M-subword.vec,vec,all,0.4601225306779474,0.9023024620460781,0.0,0.9016512672029812,0.0
35,distance,fasttext,wiki-news-300d-1M.vec,vec,1,0.49774924547486243,0.881569703900623,1.986e-321,0.8822403733090683,1.4e-322
35,distance,fasttext,wiki-news-300d-1M.vec,vec,2,0.48908523600226617,0.8898598724525689,0.0,0.8902795649205985,0.0
35,distance,fasttext,wiki-news-300d-1M.vec,vec,3,0.45254084897395364,0.9093958680404004,0.0,0.9067486636326499,0.0
35,distance,fasttext,wiki-news-300d-1M.vec,vec,4,0.46373154129441935,0.9035011747889046,0.0,0.902111960633807,0.0
35,distance,fasttext,wiki-news-300d-1M.vec,vec,5,0.48094524553371154,0.8957898855644613,0.0,0.894935320829592,0.0
35,distance,fasttext,wiki-news-300d-1M.vec,vec,all,0.4768104234558426,0.8960233009493915,3.95e-322,0.8952631766651432,3e-323
35,distance,transformer,bert_24layer_para.vec,vec,1,0.5063259127018739,0.8777589401677914,4.003181816e-315,0.8785483941027493,2.0606141e-316
