k,weighting,emb_type,emb_path,emb_fmt,fold,rmse,pearson_corr,pearson_p,spearman_corr,spearman_p
5,distance,fasttext,crawl-300d-2M-subword.bin,bin,1,0.4927889840570934,0.8815641411593447,2.036e-321,0.8803503046881943,2.18397e-319
5,distance,fasttext,crawl-300d-2M-subword.bin,bin,2,0.4770372547259882,0.8919702211758039,0.0,0.8888097771542436,0.0
5,distance,fasttext,crawl-300d-2M-subword.bin,bin,3,0.45232021932245453,0.9033206152268429,0.0,0.9020058520826862,0.0
5,distance,fasttext,crawl-300d-2M-subword.bin,bin,4,0.44314248556581043,0.907618744093611,0.0,0.9064436353942653,0.0
5,distance,fasttext,crawl-300d-2M-subword.bin,bin,5,0.47705648524423694,0.8908761924768653,0.0,0.8873404972154704,0.0
5,distance,fasttext,crawl-300d-2M-subword.bin,bin,all,0.4684690857831167,0.8950699828264936,4.05e-322,0.892990013306972,4.368e-320
10,distance,fasttext,crawl-300d-2M-subword.bin,bin,1,0.4605320623417311,0.8967475168503525,0.0,0.8954323770675942,0.0
10,distance,fasttext,crawl-300d-2M-subword.bin,bin,2,0.4610976096748886,0.8990905458121282,0.0,0.8961307006592257,0.0
10,distance,fasttext,crawl-300d-2M-subword.bin,bin,3,0.4165541079839537,0.9192587002435418,0.0,0.9176706287542785,0.0
10,distance,fasttext,crawl-300d-2M-subword.bin,bin,4,0.43009422243137413,0.9137055822541624,0.0,0.9130751441320221,0.0
10,distance,fasttext,crawl-300d-2M-subword.bin,bin,5,0.46118265369065725,0.8985144861238394,0.0,0.8970877910227323,0.0
10,distance,fasttext,crawl-300d-2M-subword.bin,bin,all,0.4458921312245209,0.9054633662568049,0.0,0.9038793283271704,0.0
15,distance,fasttext,crawl-300d-2M-subword.bin,bin,1,0.45989722635157126,0.8974726701199647,0.0,0.8971521292705151,0.0
15,distance,fasttext,crawl-300d-2M-subword.bin,bin,2,0.4606825356515952,0.8995901479726763,0.0,0.897961827670017,0.0
15,distance,fasttext,crawl-300d-2M-subword.bin,bin,3,0.4131817973139474,0.9213543641857624,0.0,0.9200863295483325,0.0
15,distance,fasttext,crawl-300d-2M-subword.bin,bin,4,0.42397111435506823,0.9169342629158825,0.0,0.9172395701782644,0.0
15,distance,fasttext,crawl-300d-2M-subword.bin,bin,5,0.4535407064694359,0.902833599160859,0.0,0.9017105647110976,0.0
15,distance,fasttext,crawl-300d-2M-subword.bin,bin,all,0.4422546760283236,0.9076370088710289,0.0,0.9068300842756454,0.0
20,distance,fasttext,crawl-300d-2M-subword.bin,bin,1,0.45931522330324887,0.8982210382448976,0.0,0.8989268189731298,0.0
20,distance,fasttext,crawl-300d-2M-subword.bin,bin,2,0.45898629937297425,0.9008271438707207,0.0,0.8991488373204486,0.0
20,distance,fasttext,crawl-300d-2M-subword.bin,bin,3,0.41587235883798124,0.9206705044107379,0.0,0.9195034301044419,0.0
20,distance,fasttext,crawl-300d-2M-subword.bin,bin,4,0.4249561628685264,0.916971074850834,0.0,0.917631863560311,0.0
20,distance,fasttext,crawl-300d-2M-subword.bin,bin,5,0.45373201012247527,0.9034109307475326,0.0,0.9021057525800849,0.0
20,distance,fasttext,crawl-300d-2M-subword.bin,bin,all,0.4425724109010412,0.9080201384249446,0.0,0.9074633405076833,0.0
25,distance,fasttext,crawl-300d-2M-subword.bin,bin,1,0.46220455625790696,0.8973591897091785,0.0,0.8984457535836345,0.0
25,distance,fasttext,crawl-300d-2M-subword.bin,bin,2,0.4616429772092547,0.9000509253228628,0.0,0.8988272584853624,0.0
25,distance,fasttext,crawl-300d-2M-subword.bin,bin,3,0.416539845804541,0.9210163316982942,0.0,0.9197461676987342,0.0
