word,col2,concreteness,col4,col5,col6,col7,col8,col9,col10,frequency
negotiation,0,2.37,1.36,0,27,1.0,117,Noun,NN,231688
profitability,0,1.86,1.16,0,29,1.0,9,Noun,NN,38454
inadequacy,0,1.7,0.95,0,27,1.0,17,Noun,NN,19189
destination,0,3.82,1.42,0,28,1.0,300,Noun,NN,250915
housekeeping,0,3.4,1.19,0,25,1.0,153,Noun,NN,15232
formula,0,4.11,1.34,0,28,1.0,401,Noun,NN,205193
fetish,0,2.48,1.15,0,29,1.0,117,Noun,NN,14552
anthropologist,0,4.0,1.31,0,29,1.0,53,Noun,NN,30375
speaker,0,4.69,0.76,0,29,1.0,352,Noun,NN,457751
sunflower,0,4.8,0.65,0,25,1.0,34,Noun,NN,15907
paper,0,4.93,0.38,0,27,1.0,5271,Noun,NN,1736756
dosage,0,4.07,0.94,1,29,0.97,102,Noun,NN,36037
chiropractor,0,4.86,0.35,0,29,1.0,45,Noun,NN,12898
abuser,0,3.86,1.51,2,30,0.93,16,Noun,NN,24880
entrepreneur,0,3.07,1.33,0,28,1.0,55,Noun,NN,126560
visa,0,4.38,0.94,0,29,1.0,216,Noun,NN,120442
disclaimer,0,3.37,1.36,0,27,1.0,4,Noun,NN,37197
bandwidth,0,3.19,1.33,0,27,1.0,25,Noun,NN,67617
crocodile,0,4.83,0.64,0,24,1.0,115,Noun,NN,21190
accumulation,0,2.97,1.43,0,30,1.0,13,Noun,NN,54388
grain,0,4.8,0.48,0,30,1.0,243,Noun,NN,189833
infraction,0,2.5,1.23,1,29,0.97,34,Noun,NN,10473
civilization,0,3.32,1.52,0,28,1.0,425,Noun,NN,136216
warranty,0,3.21,1.26,0,29,1.0,42,Noun,NN,108403
monk,0,4.35,1.16,0,26,1.0,376,Noun,NN,88133
prairie,0,4.8,0.5,0,25,1.0,143,Noun,NN,25297
propagation,0,2.08,1.09,0,26,1.0,10,Noun,NN,26329
designer,0,3.78,1.28,0,27,1.0,267,Noun,NN,392058
limbo,0,2.65,1.79,0,26,1.0,121,Noun,NN,14076
watchdog,0,4.29,1.18,1,29,0.97,53,Noun,NN,29482
dinosaur,0,4.87,0.43,0,31,1.0,203,Noun,NN,67339
bonnet,0,4.93,0.26,0,29,1.0,95,Noun,NN,35524
height,0,3.86,1.41,0,29,1.0,476,Noun,NN,342180
rug,0,4.79,0.77,0,29,1.0,531,Noun,NN,41438
pitcher,0,4.93,0.27,0,27,1.0,165,Noun,NN,46326
advent,0,2.48,1.19,2,27,0.93,24,Noun,NN,51528
underdog,0,2.71,1.58,0,28,1.0,49,Noun,NN,15079
wardrobe,0,4.67,0.62,0,27,1.0,330,Noun,NN,59414
polling,0,2.52,1.6,1,28,0.96,20,Noun,NN,48027
offspring,0,3.93,1.13,0,29,1.0,130,Noun,NN,59260
noodle,0,4.71,0.85,0,28,1.0,148,Noun,NN,27274
choreographer,0,4.23,1.24,1,27,0.96,53,Noun,NN,19836
turret,0,4.61,0.89,1,24,0.96,45,Noun,NN,24752
sustenance,0,2.26,1.42,3,26,0.88,29,Noun,NN,12140
ale,0,4.65,0.63,1,27,0.96,202,Noun,NN,45721
durability,0,2.81,1.42,0,27,1.0,11,Noun,NN,29172
outbreak,0,3.04,1.13,0,27,1.0,99,Noun,NN,93279
savings,0,3.32,1.39,0,28,1.0,384,Noun,NN,18775
canyon,0,4.81,0.79,0,27,1.0,418,Noun,NN,29293
moniker,0,3.65,1.35,4,30,0.87,16,Noun,NN,12118
cunt,0,4.21,1.17,1,29,0.97,350,Noun,NN,16092
ordeal,0,2.04,1.15,0,23,1.0,121,Noun,NN,27425
requirement,0,2.52,1.43,0,29,1.0,73,Noun,NN,1036603
beast,0,4.63,0.67,0,30,1.0,1252,Noun,NN,133199
brainstorm,0,2.55,1.55,0,29,1.0,40,Noun,NN,10237
workspace,0,4.25,1.04,0,28,1.0,14,Noun,NN,16007
legitimacy,0,2.07,1.44,0,30,1.0,26,Noun,NN,52431
clerk,0,4.28,1.28,0,25,1.0,658,Noun,NN,89028
inhalation,0,3.67,1.4,1,31,0.97,33,Noun,NN,11996
rendition,0,2.42,1.3,0,26,1.0,22,Noun,NN,37055
infusion,0,2.96,1.48,0,26,1.0,18,Noun,NN,24407
expulsion,0,2.86,1.27,0,29,1.0,41,Noun,NN,24744
zebra,0,4.86,0.58,0,29,1.0,128,Noun,NN,16407
reporter,0,4.63,0.76,0,30,1.0,1040,Noun,NN,254459
landslide,0,4.36,1.06,0,28,1.0,42,Noun,NN,22484
contraction,0,3.53,1.5,0,30,1.0,55,Noun,NN,44053
parishioner,0,4.04,1.07,1,29,0.97,8,Noun,NN,17525
magnitude,0,2.43,1.45,0,28,1.0,73,Noun,NN,107648
junkie,0,3.85,1.32,0,27,1.0,265,Noun,NN,16857
dopamine,0,3.67,1.01,3,27,0.89,77,Noun,NN,13763
aerosol,0,4.23,1.07,0,30,1.0,14,Noun,NN,25382
nerve,0,3.89,1.23,0,28,1.0,1171,Noun,NN,152469
grouping,0,3.14,1.27,1,29,0.97,20,Noun,NN,40144
penis,0,5.0,0.0,0,29,1.0,684,Noun,NN,42860
nutritionist,0,4.0,1.28,0,28,1.0,12,Noun,NN,11223
gap,0,3.92,1.26,0,26,1.0,218,Noun,NN,377762
disparity,0,1.78,0.85,1,28,0.96,10,Noun,NN,44658
knuckle,0,4.93,0.26,0,29,1.0,66,Noun,NN,17048
declaration,0,2.52,1.5,0,29,1.0,180,Noun,NN,132202
butterfly,0,4.93,0.26,0,29,1.0,281,Noun,NN,76029
