word,col2,concreteness,col4,col5,col6,col7,col8,col9,col10,frequency
profitability,0,1.86,1.16,0,29,1.0,9,Noun,NN,38454
inadequacy,0,1.7,0.95,0,27,1.0,17,Noun,NN,19189
formula,0,4.11,1.34,0,28,1.0,401,Noun,NN,205193
speaker,0,4.69,0.76,0,29,1.0,352,Noun,NN,457751
sunflower,0,4.8,0.65,0,25,1.0,34,Noun,NN,15907
paper,0,4.93,0.38,0,27,1.0,5271,Noun,NN,1736756
dosage,0,4.07,0.94,1,29,0.97,102,Noun,NN,36037
chiropractor,0,4.86,0.35,0,29,1.0,45,Noun,NN,12898
visa,0,4.38,0.94,0,29,1.0,216,Noun,NN,120442
crocodile,0,4.83,0.64,0,24,1.0,115,Noun,NN,21190
grain,0,4.8,0.48,0,30,1.0,243,Noun,NN,189833
monk,0,4.35,1.16,0,26,1.0,376,Noun,NN,88133
prairie,0,4.8,0.5,0,25,1.0,143,Noun,NN,25297
watchdog,0,4.29,1.18,1,29,0.97,53,Noun,NN,29482
dinosaur,0,4.87,0.43,0,31,1.0,203,Noun,NN,67339
bonnet,0,4.93,0.26,0,29,1.0,95,Noun,NN,35524
rug,0,4.79,0.77,0,29,1.0,531,Noun,NN,41438
pitcher,0,4.93,0.27,0,27,1.0,165,Noun,NN,46326
wardrobe,0,4.67,0.62,0,27,1.0,330,Noun,NN,59414
noodle,0,4.71,0.85,0,28,1.0,148,Noun,NN,27274
choreographer,0,4.23,1.24,1,27,0.96,53,Noun,NN,19836
turret,0,4.61,0.89,1,24,0.96,45,Noun,NN,24752
ale,0,4.65,0.63,1,27,0.96,202,Noun,NN,45721
canyon,0,4.81,0.79,0,27,1.0,418,Noun,NN,29293
cunt,0,4.21,1.17,1,29,0.97,350,Noun,NN,16092
beast,0,4.63,0.67,0,30,1.0,1252,Noun,NN,133199
workspace,0,4.25,1.04,0,28,1.0,14,Noun,NN,16007
clerk,0,4.28,1.28,0,25,1.0,658,Noun,NN,89028
zebra,0,4.86,0.58,0,29,1.0,128,Noun,NN,16407
reporter,0,4.63,0.76,0,30,1.0,1040,Noun,NN,254459
landslide,0,4.36,1.06,0,28,1.0,42,Noun,NN,22484
parishioner,0,4.04,1.07,1,29,0.97,8,Noun,NN,17525
aerosol,0,4.23,1.07,0,30,1.0,14,Noun,NN,25382
penis,0,5.0,0.0,0,29,1.0,684,Noun,NN,42860
disparity,0,1.78,0.85,1,28,0.96,10,Noun,NN,44658
knuckle,0,4.93,0.26,0,29,1.0,66,Noun,NN,17048
butterfly,0,4.93,0.26,0,29,1.0,281,Noun,NN,76029
ulcer,0,4.69,0.76,0,29,1.0,131,Noun,NN,28421
smoothie,0,4.62,0.8,0,26,1.0,37,Noun,NN,16318
disappointment,0,1.93,1.13,0,29,1.0,277,Noun,NN,102895
practicality,0,1.7,1.18,0,30,1.0,7,Noun,NN,23632
springboard,0,4.24,1.3,0,25,1.0,4,Noun,NN,34029
salesman,0,4.81,0.79,0,27,1.0,532,Noun,NN,36282
lens,0,4.64,0.68,0,28,1.0,238,Noun,NN,275156
heater,0,4.8,0.5,0,25,1.0,139,Noun,NN,74405
smallpox,0,4.25,1.08,1,29,0.97,75,Noun,NN,12482
whim,0,1.69,0.79,0,26,1.0,119,Noun,NN,30555
campground,0,4.7,0.91,0,27,1.0,9,Noun,NN,17818
shipyard,0,4.79,0.66,0,24,1.0,43,Noun,NN,12456
holiness,0,1.56,1.12,0,27,1.0,159,Noun,NN,39577
tablet,0,4.82,0.61,0,28,1.0,76,Noun,NN,210672
titanium,0,4.67,0.83,0,27,1.0,80,Noun,NN,14182
setback,0,1.97,1.13,0,30,1.0,78,Noun,NN,34282
fishing,0,4.3,1.01,8,5885,1.0,1204,Noun,NN,255271
firefighter,0,4.87,0.56,0,31,1.0,52,Noun,NN,44058
tendon,0,4.47,0.97,0,30,1.0,29,Noun,NN,24106
bamboo,0,4.86,0.74,0,29,1.0,80,Noun,NN,30080
watercolor,0,4.33,1.07,0,27,1.0,5,Noun,NN,12634
container,0,4.85,0.36,0,27,1.0,219,Noun,NN,188593
smuggler,0,4.31,1.12,0,26,1.0,62,Noun,NN,14718
dozen,0,4.66,0.72,0,29,1.0,1231,Noun,NN,327061
granny,0,4.24,0.87,0,29,1.0,430,Noun,NN,12824
ballroom,0,4.7,0.82,0,27,1.0,220,Noun,NN,16904
pregnancy,0,4.31,1.16,0,26,1.0,334,Noun,NN,196447
ammonia,0,4.44,1.12,0,25,1.0,76,Noun,NN,35143
chairman,0,4.31,1.04,0,29,1.0,605,Noun,NN,230921
guitar,0,4.9,0.4,0,30,1.0,795,Noun,NN,275817
contempt,0,1.82,1.25,0,28,1.0,256,Noun,NN,65297
roadside,0,4.22,1.19,0,27,1.0,52,Noun,NN,36077
velvet,0,4.44,0.89,0,27,1.0,320,Noun,NN,23277
meteorite,0,4.6,1.12,0,25,1.0,41,Noun,NN,20293
physician,0,4.65,0.63,0,26,1.0,313,Noun,NN,225125
bailiff,0,4.5,0.96,2,30,0.93,110,Noun,NN,15373
grove,0,4.76,0.58,1,30,0.97,197,Noun,NN,24682
duct,0,4.74,0.66,0,27,1.0,160,Noun,NN,32151
horseman,0,4.3,1.23,0,27,1.0,61,Noun,NN,11223
socialization,0,1.79,0.92,0,28,1.0,10,Noun,NN,11402
pickup,0,4.24,1.2,0,25,1.0,389,Noun,NN,38940
supposition,0,1.77,0.96,1,32,0.97,16,Noun,NN,14571
guilt,0,1.93,1.36,0,27,1.0,760,Noun,NN,109054
eternity,0,1.46,0.96,0,28,1.0,407,Noun,NN,52678
herring,0,4.68,0.9,0,25,1.0,152,Noun,NN,22307
receptor,0,4.04,1.09,2,29,0.93,52,Noun,NN,65489
magma,0,4.73,0.53,1,27,0.96,18,Noun,NN,11650
placenta,0,4.79,0.77,0,29,1.0,24,Noun,NN,11955
trophy,0,4.89,0.42,0,28,1.0,385,Noun,NN,79376
diligence,0,1.97,1.33,0,30,1.0,39,Noun,NN,34488
fur,0,4.69,0.84,0,26,1.0,422,Noun,NN,59466
treadmill,0,4.93,0.26,0,28,1.0,42,Noun,NN,20863
stance,0,4.04,1.16,2,26,0.92,96,Noun,NN,112912
rat,0,4.85,0.6,0,27,1.0,1663,Noun,NN,130662
