word,col2,concreteness,col4,col5,col6,col7,col8,col9,col10,frequency
formula,0,4.11,1.34,0,28,1.0,401,Noun,NN,205193
speaker,0,4.69,0.76,0,29,1.0,352,Noun,NN,457751
grain,0,4.8,0.48,0,30,1.0,243,Noun,NN,189833
beast,0,4.63,0.67,0,30,1.0,1252,Noun,NN,133199
reporter,0,4.63,0.76,0,30,1.0,1040,Noun,NN,254459
lens,0,4.64,0.68,0,28,1.0,238,Noun,NN,275156
tablet,0,4.82,0.61,0,28,1.0,76,Noun,NN,210672
fishing,0,4.3,1.01,8,5885,1.0,1204,Noun,NN,255271
container,0,4.85,0.36,0,27,1.0,219,Noun,NN,188593
dozen,0,4.66,0.72,0,29,1.0,1231,Noun,NN,327061
pregnancy,0,4.31,1.16,0,26,1.0,334,Noun,NN,196447
chairman,0,4.31,1.04,0,29,1.0,605,Noun,NN,230921
guitar,0,4.9,0.4,0,30,1.0,795,Noun,NN,275817
physician,0,4.65,0.63,0,26,1.0,313,Noun,NN,225125
rat,0,4.85,0.6,0,27,1.0,1663,Noun,NN,130662
cottage,0,4.85,0.36,0,27,1.0,270,Noun,NN,154933
cigarette,0,4.88,0.43,0,26,1.0,1357,Noun,NN,131537
juice,0,4.89,0.57,0,28,1.0,1371,Noun,NN,149655
gun,0,4.83,0.76,0,29,1.0,10873,Noun,NN,570063
integration,0,1.89,0.97,0,27,1.0,33,Noun,NN,209707
organism,0,4.16,1.14,0,25,1.0,104,Noun,NN,141851
nose,0,4.89,0.58,0,27,1.0,3557,Noun,NN,222279
blade,0,4.93,0.26,0,29,1.0,663,Noun,NN,130759
garage,0,4.96,0.19,0,28,1.0,1388,Noun,NN,225814
poem,0,4.03,1.11,0,31,1.0,696,Noun,NN,345750
cat,0,4.86,0.52,0,29,1.0,3383,Noun,NN,442591
illustration,0,4.36,0.95,0,28,1.0,24,Noun,NN,171189
generation,0,1.96,1.07,0,28,1.0,619,Noun,NN,763735
medication,0,4.53,1.07,0,30,1.0,652,Noun,NN,273485
musician,0,4.42,0.95,0,26,1.0,308,Noun,NN,234136
castle,0,4.96,0.19,0,28,1.0,1099,Noun,NN,157758
bone,0,4.9,0.56,0,29,1.0,1329,Noun,NN,321606
beach,0,4.79,0.77,0,29,1.0,2888,Noun,NN,478935
ceiling,0,4.85,0.46,0,27,1.0,426,Noun,NN,166166
airport,0,4.87,0.43,0,30,1.0,1940,Noun,NN,333781
cable,0,4.74,0.81,0,27,1.0,1108,Noun,NN,375743
bay,0,4.81,0.62,0,27,1.0,1236,Noun,NN,152929
manuscript,0,4.57,0.99,0,23,1.0,137,Noun,NN,157696
server,0,4.55,0.91,0,29,1.0,200,Noun,NN,555309
tendency,0,1.83,1.23,0,29,1.0,138,Noun,NN,190365
heaven,0,1.81,1.47,0,27,1.0,2887,Noun,NN,298019
fraud,0,1.68,0.86,0,28,1.0,512,Noun,NN,210809
tongue,0,4.93,0.27,0,27,1.0,1589,Noun,NN,156163
grid,0,4.55,0.78,0,29,1.0,282,Noun,NN,163679
ice,0,4.89,0.32,1,28,0.96,4057,Noun,NN,433465
difficulty,0,1.9,1.11,0,29,1.0,285,Noun,NN,576610
leather,0,4.82,0.61,0,28,1.0,693,Noun,NN,152939
panel,0,4.26,1.29,1,28,0.96,372,Noun,NN,623713
lady,0,4.33,1.03,0,30,1.0,11071,Noun,NN,420671
miracle,0,1.96,1.5,0,28,1.0,1359,Noun,NN,130389
expectation,0,1.62,1.06,0,26,1.0,67,Noun,NN,380638
insight,0,1.72,1.07,0,29,1.0,143,Noun,NN,354776
allegation,0,1.79,1.03,0,28,1.0,27,Noun,NN,160784
citizen,0,4.43,1.01,0,30,1.0,680,Noun,NN,655050
rice,0,4.86,0.59,0,28,1.0,769,Noun,NN,156932
satisfaction,0,1.9,1.21,1,30,0.97,355,Noun,NN,173981
studio,0,4.55,0.91,0,29,1.0,1190,Noun,NN,341796
brother,0,4.43,0.82,0,30,1.0,14481,Noun,NN,737464
tribe,0,4.14,0.88,0,29,1.0,325,Noun,NN,165064
priest,0,4.77,0.57,0,30,1.0,1336,Noun,NN,250012
tourist,0,4.59,0.75,0,27,1.0,237,Noun,NN,234768
possibility,0,1.33,0.61,0,30,1.0,1035,Noun,NN,627331
skin,0,4.79,0.5,0,28,1.0,2246,Noun,NN,571744
lung,0,4.82,0.48,0,28,1.0,420,Noun,NN,146123
knee,0,5.0,0.0,0,27,1.0,749,Noun,NN,232752
tournament,0,4.11,1.1,0,28,1.0,464,Noun,NN,181889
beer,0,4.88,0.33,0,26,1.0,3850,Noun,NN,323048
residence,0,4.34,1.04,0,32,1.0,421,Noun,NN,183693
village,0,4.89,0.31,0,28,1.0,1712,Noun,NN,717825
ball,0,5.0,0.0,0,28,1.0,5353,Noun,NN,721485
bird,0,5.0,0.0,0,26,1.0,2318,Noun,NN,626905
contractor,0,4.2,1.16,0,30,1.0,160,Noun,NN,243790
