word,col2,concreteness,col4,col5,col6,col7,col8,col9,col10,frequency
sunflower,0,4.8,0.65,0,25,1.0,34,Noun,NN,15907
chiropractor,0,4.86,0.35,0,29,1.0,45,Noun,NN,12898
cunt,0,4.21,1.17,1,29,0.97,350,Noun,NN,16092
workspace,0,4.25,1.04,0,28,1.0,14,Noun,NN,16007
zebra,0,4.86,0.58,0,29,1.0,128,Noun,NN,16407
parishioner,0,4.04,1.07,1,29,0.97,8,Noun,NN,17525
knuckle,0,4.93,0.26,0,29,1.0,66,Noun,NN,17048
smoothie,0,4.62,0.8,0,26,1.0,37,Noun,NN,16318
smallpox,0,4.25,1.08,1,29,0.97,75,Noun,NN,12482
campground,0,4.7,0.91,0,27,1.0,9,Noun,NN,17818
shipyard,0,4.79,0.66,0,24,1.0,43,Noun,NN,12456
titanium,0,4.67,0.83,0,27,1.0,80,Noun,NN,14182
watercolor,0,4.33,1.07,0,27,1.0,5,Noun,NN,12634
smuggler,0,4.31,1.12,0,26,1.0,62,Noun,NN,14718
granny,0,4.24,0.87,0,29,1.0,430,Noun,NN,12824
ballroom,0,4.7,0.82,0,27,1.0,220,Noun,NN,16904
bailiff,0,4.5,0.96,2,30,0.93,110,Noun,NN,15373
horseman,0,4.3,1.23,0,27,1.0,61,Noun,NN,11223
socialization,0,1.79,0.92,0,28,1.0,10,Noun,NN,11402
supposition,0,1.77,0.96,1,32,0.97,16,Noun,NN,14571
magma,0,4.73,0.53,1,27,0.96,18,Noun,NN,11650
placenta,0,4.79,0.77,0,29,1.0,24,Noun,NN,11955
judo,0,4.32,1.19,1,29,0.97,49,Noun,NN,11008
warlord,0,4.4,1.04,0,25,1.0,39,Noun,NN,12641
iodine,0,4.41,1.15,0,29,1.0,64,Noun,NN,16601
rudder,0,4.72,0.59,0,29,1.0,198,Noun,NN,12156
quart,0,4.57,1.01,0,30,1.0,106,Noun,NN,13115
marshmallow,0,4.85,0.46,1,28,0.96,77,Noun,NN,10678
