word,col2,concreteness,col4,col5,col6,col7,col8,col9,col10,frequency
negotiation,0,2.37,1.36,0,27,1.0,117,Noun,NN,231688
destination,0,3.82,1.42,0,28,1.0,300,Noun,NN,250915
formula,0,4.11,1.34,0,28,1.0,401,Noun,NN,205193
speaker,0,4.69,0.76,0,29,1.0,352,Noun,NN,457751
grain,0,4.8,0.48,0,30,1.0,243,Noun,NN,189833
civilization,0,3.32,1.52,0,28,1.0,425,Noun,NN,136216
designer,0,3.78,1.28,0,27,1.0,267,Noun,NN,392058
height,0,3.86,1.41,0,29,1.0,476,Noun,NN,342180
beast,0,4.63,0.67,0,30,1.0,1252,Noun,NN,133199
reporter,0,4.63,0.76,0,30,1.0,1040,Noun,NN,254459
nerve,0,3.89,1.23,0,28,1.0,1171,Noun,NN,152469
gap,0,3.92,1.26,0,26,1.0,218,Noun,NN,377762
declaration,0,2.52,1.5,0,29,1.0,180,Noun,NN,132202
winner,0,3.21,1.45,0,29,1.0,1592,Noun,NN,443875
lens,0,4.64,0.68,0,28,1.0,238,Noun,NN,275156
tablet,0,4.82,0.61,0,28,1.0,76,Noun,NN,210672
fishing,0,4.3,1.01,8,5885,1.0,1204,Noun,NN,255271
violence,0,3.07,1.27,0,27,1.0,1173,Noun,NN,583027
container,0,4.85,0.36,0,27,1.0,219,Noun,NN,188593
dozen,0,4.66,0.72,0,29,1.0,1231,Noun,NN,327061
pregnancy,0,4.31,1.16,0,26,1.0,334,Noun,NN,196447
chairman,0,4.31,1.04,0,29,1.0,605,Noun,NN,230921
guitar,0,4.9,0.4,0,30,1.0,795,Noun,NN,275817
physician,0,4.65,0.63,0,26,1.0,313,Noun,NN,225125
ingredient,0,3.84,1.37,0,25,1.0,133,Noun,NN,259951
conjunction,0,2.15,1.35,0,26,1.0,66,Noun,NN,133961
scholar,0,3.5,1.48,0,26,1.0,186,Noun,NN,267797
rat,0,4.85,0.6,0,27,1.0,1663,Noun,NN,130662
cottage,0,4.85,0.36,0,27,1.0,270,Noun,NN,154933
relation,0,2.11,1.23,0,28,1.0,210,Noun,NN,803546
governance,0,2.11,1.22,0,27,1.0,5,Noun,NN,136756
cigarette,0,4.88,0.43,0,26,1.0,1357,Noun,NN,131537
juice,0,4.89,0.57,0,28,1.0,1371,Noun,NN,149655
vision,0,3.39,1.34,0,28,1.0,1218,Noun,NN,532123
gun,0,4.83,0.76,0,29,1.0,10873,Noun,NN,570063
integration,0,1.89,0.97,0,27,1.0,33,Noun,NN,209707
organism,0,4.16,1.14,0,25,1.0,104,Noun,NN,141851
data,0,3.93,1.21,0,27,1.0,1306,Noun,NN,418023
nose,0,4.89,0.58,0,27,1.0,3557,Noun,NN,222279
blade,0,4.93,0.26,0,29,1.0,663,Noun,NN,130759
conversation,0,3.28,1.41,0,29,1.0,2543,Noun,NN,574894
expense,0,2.57,1.43,0,30,1.0,380,Noun,NN,422135
garage,0,4.96,0.19,0,28,1.0,1388,Noun,NN,225814
violation,0,2.67,1.41,0,27,1.0,385,Noun,NN,242255
poem,0,4.03,1.11,0,31,1.0,696,Noun,NN,345750
protection,0,2.5,1.21,0,26,1.0,1197,Noun,NN,690635
pleasure,0,2.04,1.26,0,27,1.0,4118,Noun,NN,350326
phrase,0,2.86,1.51,0,29,1.0,464,Noun,NN,332879
efficiency,0,2.15,1.35,0,27,1.0,139,Noun,NN,326394
theme,0,2.72,1.53,0,29,1.0,710,Noun,NN,624760
