word,col2,concreteness,col4,col5,col6,col7,col8,col9,col10,frequency
housekeeping,0,3.4,1.19,0,25,1.0,153,Noun,NN,15232
fetish,0,2.48,1.15,0,29,1.0,117,Noun,NN,14552
sunflower,0,4.8,0.65,0,25,1.0,34,Noun,NN,15907
chiropractor,0,4.86,0.35,0,29,1.0,45,Noun,NN,12898
infraction,0,2.5,1.23,1,29,0.97,34,Noun,NN,10473
limbo,0,2.65,1.79,0,26,1.0,121,Noun,NN,14076
underdog,0,2.71,1.58,0,28,1.0,49,Noun,NN,15079
sustenance,0,2.26,1.42,3,26,0.88,29,Noun,NN,12140
savings,0,3.32,1.39,0,28,1.0,384,Noun,NN,18775
moniker,0,3.65,1.35,4,30,0.87,16,Noun,NN,12118
cunt,0,4.21,1.17,1,29,0.97,350,Noun,NN,16092
brainstorm,0,2.55,1.55,0,29,1.0,40,Noun,NN,10237
workspace,0,4.25,1.04,0,28,1.0,14,Noun,NN,16007
inhalation,0,3.67,1.4,1,31,0.97,33,Noun,NN,11996
zebra,0,4.86,0.58,0,29,1.0,128,Noun,NN,16407
parishioner,0,4.04,1.07,1,29,0.97,8,Noun,NN,17525
junkie,0,3.85,1.32,0,27,1.0,265,Noun,NN,16857
dopamine,0,3.67,1.01,3,27,0.89,77,Noun,NN,13763
nutritionist,0,4.0,1.28,0,28,1.0,12,Noun,NN,11223
knuckle,0,4.93,0.26,0,29,1.0,66,Noun,NN,17048
dehydration,0,3.52,1.28,0,27,1.0,40,Noun,NN,15525
aficionado,0,2.55,1.18,3,25,0.88,11,Noun,NN,12121
smoothie,0,4.62,0.8,0,26,1.0,37,Noun,NN,16318
haiku,0,3.58,1.45,2,28,0.93,24,Noun,NN,11185
forgery,0,3.03,1.55,1,30,0.97,100,Noun,NN,16217
catechism,0,2.57,1.47,4,27,0.85,15,Noun,NN,10311
psychopath,0,3.46,1.27,0,26,1.0,142,Noun,NN,13413
byproduct,0,3.16,1.43,1,26,0.96,13,Noun,NN,12742
smallpox,0,4.25,1.08,1,29,0.97,75,Noun,NN,12482
campground,0,4.7,0.91,0,27,1.0,9,Noun,NN,17818
shipyard,0,4.79,0.66,0,24,1.0,43,Noun,NN,12456
antidote,0,3.42,1.47,1,27,0.96,221,Noun,NN,18239
titanium,0,4.67,0.83,0,27,1.0,80,Noun,NN,14182
modulation,0,2.64,1.31,1,29,0.97,7,Noun,NN,17506
encoder,0,3.81,1.39,2,29,0.93,11,Noun,NN,10666
watercolor,0,4.33,1.07,0,27,1.0,5,Noun,NN,12634
odyssey,0,2.64,1.35,2,27,0.93,45,Noun,NN,15248
smuggler,0,4.31,1.12,0,26,1.0,62,Noun,NN,14718
granny,0,4.24,0.87,0,29,1.0,430,Noun,NN,12824
trimester,0,2.78,1.28,0,27,1.0,43,Noun,NN,10426
ballroom,0,4.7,0.82,0,27,1.0,220,Noun,NN,16904
tiling,0,3.9,1.14,1,30,0.97,4,Noun,NN,10285
reconnaissance,0,2.04,1.12,2,26,0.92,88,Noun,NN,18576
encore,0,2.81,1.3,1,28,0.96,126,Noun,NN,15477
bailiff,0,4.5,0.96,2,30,0.93,110,Noun,NN,15373
horseman,0,4.3,1.23,0,27,1.0,61,Noun,NN,11223
socialization,0,1.79,0.92,0,28,1.0,10,Noun,NN,11402
supposition,0,1.77,0.96,1,32,0.97,16,Noun,NN,14571
sulfate,0,3.86,1.41,1,29,0.97,20,Noun,NN,11385
stagnation,0,2.19,1.06,2,28,0.93,5,Noun,NN,14629
cadence,0,2.7,1.32,2,29,0.93,15,Noun,NN,11195
magma,0,4.73,0.53,1,27,0.96,18,Noun,NN,11650
placenta,0,4.79,0.77,0,29,1.0,24,Noun,NN,11955
archivist,0,3.57,1.43,0,28,1.0,4,Noun,NN,13928
dispersion,0,2.22,1.15,2,29,0.93,3,Noun,NN,15203
giver,0,3.38,1.27,0,26,1.0,59,Noun,NN,13561
scapegoat,0,2.52,1.25,0,27,1.0,56,Noun,NN,15032
plumage,0,3.93,1.33,0,29,1.0,9,Noun,NN,10391
judo,0,4.32,1.19,1,29,0.97,49,Noun,NN,11008
supercomputer,0,4.0,1.11,1,28,0.96,13,Noun,NN,10479
warlord,0,4.4,1.04,0,25,1.0,39,Noun,NN,12641
lymphoma,0,3.76,1.24,0,29,1.0,28,Noun,NN,13495
iodine,0,4.41,1.15,0,29,1.0,64,Noun,NN,16601
baroque,0,2.62,1.24,4,30,0.87,16,Noun,NN,10757
adventurer,0,3.73,1.28,1,27,0.96,37,Noun,NN,18920
rudder,0,4.72,0.59,0,29,1.0,198,Noun,NN,12156
lore,0,2.35,1.23,2,28,0.93,34,Noun,NN,18059
quart,0,4.57,1.01,0,30,1.0,106,Noun,NN,13115
marshmallow,0,4.85,0.46,1,28,0.96,77,Noun,NN,10678
mafia,0,3.66,1.4,0,29,1.0,238,Noun,NN,13026
pantry,0,4.67,0.61,0,30,1.0,89,Noun,NN,16062
trance,0,3.0,1.3,2,28,0.93,268,Noun,NN,18705
horsepower,0,2.48,1.37,0,27,1.0,62,Noun,NN,15543
adhesion,0,3.32,1.31,0,28,1.0,6,Noun,NN,13139
seawater,0,4.41,1.18,0,29,1.0,23,Noun,NN,12315
encampment,0,3.82,1.3,4,26,0.85,16,Noun,NN,10729
anesthesia,0,3.41,1.7,0,29,1.0,101,Noun,NN,12304
taco,0,4.93,0.37,0,29,1.0,158,Noun,NN,13491
footbridge,0,4.81,0.8,3,29,0.9,6,Noun,NN,10866
criminality,0,1.87,1.14,0,30,1.0,6,Noun,NN,14756
modifier,0,2.41,1.34,2,29,0.93,2,Noun,NN,14786
dispensation,0,2.0,1.09,4,27,0.85,18,Noun,NN,14465
ambivalence,0,1.7,0.82,2,29,0.93,12,Noun,NN,11179
polygamy,0,2.83,1.67,2,25,0.92,19,Noun,NN,10501
dossier,0,4.21,1.18,4,28,0.86,56,Noun,NN,12607
bottleneck,0,3.97,1.43,0,29,1.0,26,Noun,NN,17484
melanoma,0,4.1,1.09,0,30,1.0,19,Noun,NN,13527
biochemistry,0,3.4,1.43,0,30,1.0,29,Noun,NN,14333
parsley,0,4.77,0.86,0,26,1.0,43,Noun,NN,14479
buildup,0,3.08,1.35,0,26,1.0,59,Noun,NN,13840
fairytale,0,2.93,1.41,0,29,1.0,0,Noun,NN,11890
turntable,0,4.57,1.14,0,28,1.0,18,Noun,NN,14545
goldfish,0,4.79,0.79,0,28,1.0,155,Noun,NN,18731
rupee,0,4.68,1.11,4,29,0.86,2,Noun,NN,11032
metabolite,0,2.52,1.5,4,27,0.85,3,Noun,NN,13114
acidity,0,3.4,1.35,1,26,0.96,10,Noun,NN,15125
concierge,0,3.89,1.4,2,30,0.93,73,Noun,NN,11062
iguana,0,4.83,0.76,0,29,1.0,40,Noun,NN,10739
acoustics,0,3.12,1.24,0,25,1.0,22,Noun,NN,11937
preconception,0,1.7,1.03,0,27,1.0,1,Noun,NN,12227
sinus,0,4.27,1.14,0,30,1.0,89,Noun,NN,16945
mouthpiece,0,4.66,0.77,0,29,1.0,47,Noun,NN,12979
outbuilding,0,3.89,1.37,1,29,0.97,11,Noun,NN,12223
adage,0,1.86,0.94,4,26,0.85,32,Noun,NN,13878
joystick,0,4.74,0.86,0,27,1.0,15,Noun,NN,13330
emitter,0,3.25,1.39,4,28,0.86,7,Noun,NN,10591
reindeer,0,4.7,0.87,0,27,1.0,172,Noun,NN,11416
asphalt,0,4.83,0.75,0,30,1.0,49,Noun,NN,15502
zipper,0,4.83,0.54,0,29,1.0,144,Noun,NN,10096
sill,0,4.59,0.89,2,29,0.93,23,Noun,NN,15901
earl,0,2.85,1.49,4,30,0.87,1042,Noun,NN,12142
slipper,0,4.86,0.44,0,29,1.0,113,Noun,NN,18670
aristocracy,0,2.97,1.38,1,30,0.97,32,Noun,NN,18707
biotech,0,3.0,1.41,1,27,0.96,16,Noun,NN,16894
fowl,0,4.64,0.91,1,29,0.97,35,Noun,NN,12107
omen,0,2.69,1.63,0,29,1.0,87,Noun,NN,13395
