word,col2,concreteness,col4,col5,col6,col7,col8,col9,col10,frequency
negotiation,0,2.37,1.36,0,27,1.0,117,Noun,NN,231688
destination,0,3.82,1.42,0,28,1.0,300,Noun,NN,250915
housekeeping,0,3.4,1.19,0,25,1.0,153,Noun,NN,15232
fetish,0,2.48,1.15,0,29,1.0,117,Noun,NN,14552
anthropologist,0,4.0,1.31,0,29,1.0,53,Noun,NN,30375
abuser,0,3.86,1.51,2,30,0.93,16,Noun,NN,24880
entrepreneur,0,3.07,1.33,0,28,1.0,55,Noun,NN,126560
disclaimer,0,3.37,1.36,0,27,1.0,4,Noun,NN,37197
bandwidth,0,3.19,1.33,0,27,1.0,25,Noun,NN,67617
accumulation,0,2.97,1.43,0,30,1.0,13,Noun,NN,54388
infraction,0,2.5,1.23,1,29,0.97,34,Noun,NN,10473
civilization,0,3.32,1.52,0,28,1.0,425,Noun,NN,136216
warranty,0,3.21,1.26,0,29,1.0,42,Noun,NN,108403
propagation,0,2.08,1.09,0,26,1.0,10,Noun,NN,26329
designer,0,3.78,1.28,0,27,1.0,267,Noun,NN,392058
limbo,0,2.65,1.79,0,26,1.0,121,Noun,NN,14076
height,0,3.86,1.41,0,29,1.0,476,Noun,NN,342180
advent,0,2.48,1.19,2,27,0.93,24,Noun,NN,51528
underdog,0,2.71,1.58,0,28,1.0,49,Noun,NN,15079
polling,0,2.52,1.6,1,28,0.96,20,Noun,NN,48027
offspring,0,3.93,1.13,0,29,1.0,130,Noun,NN,59260
sustenance,0,2.26,1.42,3,26,0.88,29,Noun,NN,12140
durability,0,2.81,1.42,0,27,1.0,11,Noun,NN,29172
outbreak,0,3.04,1.13,0,27,1.0,99,Noun,NN,93279
savings,0,3.32,1.39,0,28,1.0,384,Noun,NN,18775
moniker,0,3.65,1.35,4,30,0.87,16,Noun,NN,12118
ordeal,0,2.04,1.15,0,23,1.0,121,Noun,NN,27425
requirement,0,2.52,1.43,0,29,1.0,73,Noun,NN,1036603
brainstorm,0,2.55,1.55,0,29,1.0,40,Noun,NN,10237
legitimacy,0,2.07,1.44,0,30,1.0,26,Noun,NN,52431
inhalation,0,3.67,1.4,1,31,0.97,33,Noun,NN,11996
rendition,0,2.42,1.3,0,26,1.0,22,Noun,NN,37055
infusion,0,2.96,1.48,0,26,1.0,18,Noun,NN,24407
expulsion,0,2.86,1.27,0,29,1.0,41,Noun,NN,24744
contraction,0,3.53,1.5,0,30,1.0,55,Noun,NN,44053
magnitude,0,2.43,1.45,0,28,1.0,73,Noun,NN,107648
junkie,0,3.85,1.32,0,27,1.0,265,Noun,NN,16857
dopamine,0,3.67,1.01,3,27,0.89,77,Noun,NN,13763
nerve,0,3.89,1.23,0,28,1.0,1171,Noun,NN,152469
grouping,0,3.14,1.27,1,29,0.97,20,Noun,NN,40144
nutritionist,0,4.0,1.28,0,28,1.0,12,Noun,NN,11223
gap,0,3.92,1.26,0,26,1.0,218,Noun,NN,377762
declaration,0,2.52,1.5,0,29,1.0,180,Noun,NN,132202
dehydration,0,3.52,1.28,0,27,1.0,40,Noun,NN,15525
aficionado,0,2.55,1.18,3,25,0.88,11,Noun,NN,12121
vortex,0,3.28,1.31,0,29,1.0,76,Noun,NN,21014
citation,0,3.66,1.14,0,29,1.0,81,Noun,NN,87196
haiku,0,3.58,1.45,2,28,0.93,24,Noun,NN,11185
hygiene,0,3.11,1.37,0,28,1.0,108,Noun,NN,51672
forgery,0,3.03,1.55,1,30,0.97,100,Noun,NN,16217
