word,col2,concreteness,col4,col5,col6,col7,col8,col9,col10,frequency
negotiation,0,2.37,1.36,0,27,1.0,117,Noun,NN,231688
destination,0,3.82,1.42,0,28,1.0,300,Noun,NN,250915
civilization,0,3.32,1.52,0,28,1.0,425,Noun,NN,136216
designer,0,3.78,1.28,0,27,1.0,267,Noun,NN,392058
height,0,3.86,1.41,0,29,1.0,476,Noun,NN,342180
nerve,0,3.89,1.23,0,28,1.0,1171,Noun,NN,152469
gap,0,3.92,1.26,0,26,1.0,218,Noun,NN,377762
declaration,0,2.52,1.5,0,29,1.0,180,Noun,NN,132202
winner,0,3.21,1.45,0,29,1.0,1592,Noun,NN,443875
violence,0,3.07,1.27,0,27,1.0,1173,Noun,NN,583027
ingredient,0,3.84,1.37,0,25,1.0,133,Noun,NN,259951
conjunction,0,2.15,1.35,0,26,1.0,66,Noun,NN,133961
scholar,0,3.5,1.48,0,26,1.0,186,Noun,NN,267797
relation,0,2.11,1.23,0,28,1.0,210,Noun,NN,803546
governance,0,2.11,1.22,0,27,1.0,5,Noun,NN,136756
vision,0,3.39,1.34,0,28,1.0,1218,Noun,NN,532123
data,0,3.93,1.21,0,27,1.0,1306,Noun,NN,418023
conversation,0,3.28,1.41,0,29,1.0,2543,Noun,NN,574894
expense,0,2.57,1.43,0,30,1.0,380,Noun,NN,422135
violation,0,2.67,1.41,0,27,1.0,385,Noun,NN,242255
protection,0,2.5,1.21,0,26,1.0,1197,Noun,NN,690635
pleasure,0,2.04,1.26,0,27,1.0,4118,Noun,NN,350326
phrase,0,2.86,1.51,0,29,1.0,464,Noun,NN,332879
efficiency,0,2.15,1.35,0,27,1.0,139,Noun,NN,326394
theme,0,2.72,1.53,0,29,1.0,710,Noun,NN,624760
loan,0,3.72,1.36,0,29,1.0,1013,Noun,NN,693088
competition,0,3.86,1.22,0,29,1.0,1066,Noun,NN,686798
measurement,0,3.26,1.35,0,27,1.0,27,Noun,NN,265671
scenario,0,2.62,1.29,0,29,1.0,319,Noun,NN,291045
drama,0,2.34,1.37,0,29,1.0,1028,Noun,NN,226070
conversion,0,2.46,1.14,0,28,1.0,66,Noun,NN,235078
payment,0,3.91,1.16,0,23,1.0,538,Noun,NN,781654
identity,0,2.0,1.23,0,30,1.0,662,Noun,NN,516861
emotion,0,2.44,1.48,0,27,1.0,423,Noun,NN,300709
offender,0,3.88,1.14,0,26,1.0,140,Noun,NN,132159
route,0,3.88,1.39,0,24,1.0,1089,Noun,NN,640567
composition,0,3.1,1.59,0,29,1.0,124,Noun,NN,213639
advertising,0,3.88,0.95,0,26,1.0,379,Noun,NN,316441
philosopher,0,3.63,1.6,1,28,0.96,155,Noun,NN,132737
prevention,0,2.2,1.3,0,30,1.0,32,Noun,NN,164596
maintenance,0,3.07,1.49,0,27,1.0,349,Noun,NN,358687
reminder,0,2.41,1.5,0,29,1.0,192,Noun,NN,129522
earthquake,0,3.97,1.3,0,30,1.0,325,Noun,NN,130479
ministry,0,3.21,1.5,0,29,1.0,196,Noun,NN,183193
inspection,0,3.12,1.3,1,25,0.96,300,Noun,NN,308802
coverage,0,2.7,1.18,0,30,1.0,318,Noun,NN,407680
celebrity,0,3.28,1.57,0,25,1.0,372,Noun,NN,155330
beginning,0,2.5,1.39,0,26,1.0,3219,Noun,NN,625531
communication,0,2.9,1.54,0,29,1.0,528,Noun,NN,804799
failure,0,2.08,1.06,0,26,1.0,1021,Noun,NN,693430
