word,col2,concreteness,col4,col5,col6,col7,col8,col9,col10,frequency
housekeeping,0,3.4,1.19,0,25,1.0,153,Noun,NN,15232
fetish,0,2.48,1.15,0,29,1.0,117,Noun,NN,14552
infraction,0,2.5,1.23,1,29,0.97,34,Noun,NN,10473
limbo,0,2.65,1.79,0,26,1.0,121,Noun,NN,14076
underdog,0,2.71,1.58,0,28,1.0,49,Noun,NN,15079
sustenance,0,2.26,1.42,3,26,0.88,29,Noun,NN,12140
savings,0,3.32,1.39,0,28,1.0,384,Noun,NN,18775
moniker,0,3.65,1.35,4,30,0.87,16,Noun,NN,12118
brainstorm,0,2.55,1.55,0,29,1.0,40,Noun,NN,10237
inhalation,0,3.67,1.4,1,31,0.97,33,Noun,NN,11996
junkie,0,3.85,1.32,0,27,1.0,265,Noun,NN,16857
dopamine,0,3.67,1.01,3,27,0.89,77,Noun,NN,13763
nutritionist,0,4.0,1.28,0,28,1.0,12,Noun,NN,11223
dehydration,0,3.52,1.28,0,27,1.0,40,Noun,NN,15525
aficionado,0,2.55,1.18,3,25,0.88,11,Noun,NN,12121
haiku,0,3.58,1.45,2,28,0.93,24,Noun,NN,11185
forgery,0,3.03,1.55,1,30,0.97,100,Noun,NN,16217
catechism,0,2.57,1.47,4,27,0.85,15,Noun,NN,10311
psychopath,0,3.46,1.27,0,26,1.0,142,Noun,NN,13413
byproduct,0,3.16,1.43,1,26,0.96,13,Noun,NN,12742
antidote,0,3.42,1.47,1,27,0.96,221,Noun,NN,18239
modulation,0,2.64,1.31,1,29,0.97,7,Noun,NN,17506
encoder,0,3.81,1.39,2,29,0.93,11,Noun,NN,10666
odyssey,0,2.64,1.35,2,27,0.93,45,Noun,NN,15248
trimester,0,2.78,1.28,0,27,1.0,43,Noun,NN,10426
tiling,0,3.9,1.14,1,30,0.97,4,Noun,NN,10285
reconnaissance,0,2.04,1.12,2,26,0.92,88,Noun,NN,18576
encore,0,2.81,1.3,1,28,0.96,126,Noun,NN,15477
sulfate,0,3.86,1.41,1,29,0.97,20,Noun,NN,11385
stagnation,0,2.19,1.06,2,28,0.93,5,Noun,NN,14629
cadence,0,2.7,1.32,2,29,0.93,15,Noun,NN,11195
archivist,0,3.57,1.43,0,28,1.0,4,Noun,NN,13928
dispersion,0,2.22,1.15,2,29,0.93,3,Noun,NN,15203
giver,0,3.38,1.27,0,26,1.0,59,Noun,NN,13561
scapegoat,0,2.52,1.25,0,27,1.0,56,Noun,NN,15032
plumage,0,3.93,1.33,0,29,1.0,9,Noun,NN,10391
supercomputer,0,4.0,1.11,1,28,0.96,13,Noun,NN,10479
lymphoma,0,3.76,1.24,0,29,1.0,28,Noun,NN,13495
baroque,0,2.62,1.24,4,30,0.87,16,Noun,NN,10757
adventurer,0,3.73,1.28,1,27,0.96,37,Noun,NN,18920
lore,0,2.35,1.23,2,28,0.93,34,Noun,NN,18059
mafia,0,3.66,1.4,0,29,1.0,238,Noun,NN,13026
trance,0,3.0,1.3,2,28,0.93,268,Noun,NN,18705
horsepower,0,2.48,1.37,0,27,1.0,62,Noun,NN,15543
adhesion,0,3.32,1.31,0,28,1.0,6,Noun,NN,13139
encampment,0,3.82,1.3,4,26,0.85,16,Noun,NN,10729
anesthesia,0,3.41,1.7,0,29,1.0,101,Noun,NN,12304
modifier,0,2.41,1.34,2,29,0.93,2,Noun,NN,14786
dispensation,0,2.0,1.09,4,27,0.85,18,Noun,NN,14465
polygamy,0,2.83,1.67,2,25,0.92,19,Noun,NN,10501
bottleneck,0,3.97,1.43,0,29,1.0,26,Noun,NN,17484
biochemistry,0,3.4,1.43,0,30,1.0,29,Noun,NN,14333
buildup,0,3.08,1.35,0,26,1.0,59,Noun,NN,13840
fairytale,0,2.93,1.41,0,29,1.0,0,Noun,NN,11890
metabolite,0,2.52,1.5,4,27,0.85,3,Noun,NN,13114
acidity,0,3.4,1.35,1,26,0.96,10,Noun,NN,15125
concierge,0,3.89,1.4,2,30,0.93,73,Noun,NN,11062
acoustics,0,3.12,1.24,0,25,1.0,22,Noun,NN,11937
outbuilding,0,3.89,1.37,1,29,0.97,11,Noun,NN,12223
emitter,0,3.25,1.39,4,28,0.86,7,Noun,NN,10591
earl,0,2.85,1.49,4,30,0.87,1042,Noun,NN,12142
aristocracy,0,2.97,1.38,1,30,0.97,32,Noun,NN,18707
biotech,0,3.0,1.41,1,27,0.96,16,Noun,NN,16894
omen,0,2.69,1.63,0,29,1.0,87,Noun,NN,13395
sampler,0,3.72,1.16,0,29,1.0,16,Noun,NN,10429
cholera,0,3.26,1.51,1,28,0.96,56,Noun,NN,15834
quadrant,0,3.52,1.37,0,27,1.0,143,Noun,NN,12767
outpouring,0,2.46,1.36,3,29,0.9,13,Noun,NN,12035
dexterity,0,2.72,1.46,0,29,1.0,21,Noun,NN,10273
entourage,0,3.46,1.29,0,28,1.0,69,Noun,NN,10756
layoff,0,2.83,1.31,0,29,1.0,11,Noun,NN,18279
collagen,0,3.67,1.27,1,31,0.97,39,Noun,NN,14278
inactivity,0,2.84,1.37,0,25,1.0,3,Noun,NN,11895
orator,0,4.0,1.19,2,27,0.93,8,Noun,NN,11062
deformation,0,3.0,1.47,1,29,0.97,3,Noun,NN,14968
downpour,0,3.71,1.12,0,28,1.0,3,Noun,NN,10019
phonics,0,2.82,1.16,0,28,1.0,5,Noun,NN,10727
psychoanalysis,0,2.25,1.33,4,28,0.86,25,Noun,NN,14093
commemoration,0,2.6,1.44,2,27,0.93,5,Noun,NN,17227
progeny,0,2.93,1.59,2,29,0.93,18,Noun,NN,12472
ceasefire,0,3.11,1.34,0,28,1.0,15,Noun,NN,13515
dreamer,0,2.19,1.33,0,27,1.0,155,Noun,NN,17495
tranquility,0,2.33,1.45,0,30,1.0,37,Noun,NN,12700
overpayment,0,3.14,1.48,0,28,1.0,2,Noun,NN,11179
brevity,0,2.23,1.31,3,29,0.9,11,Noun,NN,11471
aggressor,0,3.29,1.27,0,28,1.0,29,Noun,NN,12535
intoxication,0,3.0,1.22,0,29,1.0,19,Noun,NN,10092
incubation,0,3.32,1.6,0,31,1.0,21,Noun,NN,13962
mouthful,0,3.96,1.18,0,26,1.0,86,Noun,NN,10384
powerhouse,0,2.79,1.52,0,29,1.0,28,Noun,NN,18911
interconnection,0,2.14,0.88,0,29,1.0,1,Noun,NN,12505
thanksgiving,0,3.33,1.04,0,27,1.0,949,Noun,NN,12005
sclerosis,0,3.68,1.31,3,28,0.89,13,Noun,NN,17338
ascension,0,2.37,1.19,1,31,0.97,44,Noun,NN,12335
arousal,0,2.83,1.42,0,29,1.0,19,Noun,NN,10427
extortion,0,2.69,1.54,0,29,1.0,131,Noun,NN,12418
vestige,0,2.28,1.34,3,28,0.89,15,Noun,NN,11503
exponent,0,3.07,1.52,0,27,1.0,4,Noun,NN,15154
demeanor,0,2.44,1.45,0,27,1.0,54,Noun,NN,12372
condenser,0,3.96,1.28,1,27,0.96,7,Noun,NN,11564
hospitalization,0,3.12,1.4,0,26,1.0,9,Noun,NN,13866
bereavement,0,2.33,1.3,0,27,1.0,23,Noun,NN,15763
cutoff,0,3.62,1.57,0,29,1.0,30,Noun,NN,11723
eyesight,0,3.59,1.6,0,27,1.0,99,Noun,NN,16372
gamut,0,2.65,1.37,4,27,0.85,13,Noun,NN,13622
trafficker,0,3.25,1.43,0,28,1.0,8,Noun,NN,14028
exclamation,0,2.48,1.43,0,29,1.0,28,Noun,NN,13576
palsy,0,2.76,1.27,4,29,0.86,27,Noun,NN,11228
blurb,0,3.04,1.45,1,29,0.97,13,Noun,NN,17606
boon,0,2.48,1.45,2,27,0.93,108,Noun,NN,17032
manpower,0,3.37,1.3,0,30,1.0,105,Noun,NN,18693
hater,0,2.21,1.15,0,29,1.0,32,Noun,NN,16528
subspecies,0,3.11,1.55,1,29,0.97,18,Noun,NN,10974
conspirator,0,2.37,1.62,0,27,1.0,11,Noun,NN,11194
experimenter,0,3.8,1.35,0,30,1.0,2,Noun,NN,10458
